 año,id_diee,ciiu_seccion,ciiu_division,ciiu_clase,sector_economico,tam_empresa,provincia,tic1_inversion,tic2_valor_inversion,tic31_computadoras,tic32_pda,tic33_smartphone,tic34_notebooks,tic35_tablets,tic36_otros,tic4_personal_total_comp,tic41_personal_comp_m,tic42_personal_comp_h,tic5_conexion_internet,tic6_personal_total_int,tic61_personal_int_m,tic62_personal_int_h,tic7a_bandaanchafija,tic7b_bandaanchamovil,tic7c_otros_1412,tic8_web,tic9_transacciones,tic91_total_compras,tic92_total_ventas,tic10_interaccion_adm_pub,tic101_obtener_info_publicas,tic102_impreso_publicos,tic103_devolver_impresos,tic104_gestion_electronica,tic105_declaracion_impuestos,tic106_tramites_iess,tic107_portal_compras_publicas,tic111_gestion_cliente,tic112_control_pedidos,tic113_gestion_inventarios,tic114_gestion_finanzas,tic115_gestion_rrhh,tic116_soporte_ventas,tic117_id,tic118_gestion_conocimiento,tic121_telefonos_celulares,tic122_correo_electronico,tic123_redes_sociales,tic124_mensajeria_especializada,tic125_fax,tic126_call_center,tic127_otros_1434,tic128_ninguno,tic131_sistemas_operativos,tic132_navegador_internet,tic133_aplicaciones_ofimaticas,tic134_erp_crm,tic135_seguridad,tic14_especialistas_tic,tic141_especialistas_tic_m,tic142_especialistas_tic_h,tic151_personal_conoc_tic,tic151_personal_conoc_tic_m,tic152_personal_conoc_tic_h,tic16_intranet,tic17_firma_digital,k
2015,13582673017,I,I55,I5510,4,2,101,1,3064,3,0,0,0,0,0,4,3,1,1,4,3,1,1,2,2,1,2, , ,1,2,2,2,2,1,1,2,1,3,3,3,2,3,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13582885014,G,G46,G4630,3,3,101,1,3405,18,0,0,0,0,0,18,9,9,1,18,9,9,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,0,1,0,0,0,1,1,1
2015,13583065011,J,J60,J6010,4,2,101,2,0,11,0,0,2,0,0,19,6,13,1,19,6,13,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2, , ,0,0,0,1,2,1
2015,13583558017,G,G47,G4751,3,2,209,2,0,6,0,0,0,0,0,9,3,6,1,9,3,6,1,2,2,2,2, , ,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13583628015,I,I56,I5610,4,2,101,2,0,3,0,0,0,0,0,3,2,1,1,3,2,1,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13586474019,G,G47,G4752,3,2,101,2,0,7,0,0,0,0,0,7,6,1,1,3,2,1,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,2,2,1,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13586822017,G,G47,G4730,3,2,101,1,2775,15,0,0,1,0,0,22,5,17,1,4,2,2,1,2,2,2,2, , ,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2, , ,0,0,0,1,1,1
2015,13588996012,C,C15,C1520,1,4,101,2,0,14,0,0,5,3,0,12,6,6,2, , , , , , , , , , ,0,1,1,1,2,1,1,2, , , , , , , , ,1, , ,1,1,1,2,2,2,2,2,1,2,2, , ,2,0,2,1,1,1
2015,13589952019,C,C14,C1410,1,2,101,2,0,1,0,0,0,0,0,1,1,0,2, , , , , , , , , , ,0,2,2,2,2,2,2,2, , , , , , , , ,1, , ,2,2,2,2,2,2,2,2,2,2,2, , ,0,0,0,2,2,1
2015,13590340019,C,C23,C2310,1,2,117,1,249,3,0,0,1,0,0,4,2,2,1,4,2,2,1,2,2,2,2, , ,2, , , , , , , ,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2, , ,4,2,2,2,2,1
2015,13590561015,I,I56,I5610,4,3,101,1,2890,10,0,0,2,0,0,12,6,6,1,8,4,4,1,2,2,1,2, , ,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13590577019,G,G46,G4641,3,3,101,1,5073,10,0,0,0,0,0,10,6,4,1,10,6,4,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2, , ,0,0,0,1,1,1
2015,13590719018,G,G46,G4651,3,2,101,1,77,9,0,0,0,0,0,10,5,5,1,10,5,5,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2, , ,1,0,1,2,1,1
2015,13590933010,G,G46,G4649,3,3,101,2,0,14,0,0,1,0,0,10,6,4,1,10,6,4,1,2,2,2,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13591028019,G,G46,G4649,3,2,101,1,1415,3,0,0,0,0,0,3,3,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,2,2,2,2,1,2,2,2,2,2, , ,0,0,0,2,2,1
2015,13591212014,J,J60,J6010,4,3,123,2,0,15,0,0,0,0,0,15,9,6,1,15,9,6,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,2,2,1
2015,13592040012,C,C15,C1520,1,2,101,2,0,6,0,0,0,0,0,3,2,1,1,2,1,1,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13592121012,C,C16,C1622,1,2,101,1,8269,6,0,0,2,0,0,8,2,6,1,8,2,6,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13592165010,G,G47,G4752,3,2,319,1,38085.84,2,0,0,0,0,0,5,2,3,1,4,2,2,1,2,2,2,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13593019017,I,I56,I5610,4,2,207,2,0,2,0,0,0,0,0,2,1,1,1,2,1,1,1,2,2,2,2, , ,1,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13594414017,G,G46,G4662,3,3,101,1,3608,17,0,0,0,0,0,14,10,4,1,14,10,4,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13595584013,G,G47,G4711,3,2,314,1,10506,16,0,0,0,0,0,16,8,8,1,10,4,6,1,2,2,1,2, , ,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2, , ,1,0,1,1,1,1
2015,13598095013,J,J60,J6020,4,2,105,2,0,6,0,0,0,0,0,8,4,4,1,8,4,4,1,2,2,2,1,20,0,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2, , ,8,4,4,2,2,1
2015,13601900011,E,E38,E3811,4,5,101,1,18256,67,0,1,13,0,0,80,32,48,1,80,32,48,1,2,2,1,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,4,2,2,2,1,1
2015,13601911013,C,C23,C2392,1,2,101,1,2730,25,0,0,0,0,0,24,17,7,1,24,17,7,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13601913016,G,G46,G4649,3,5,101,1,129674,839,0,40,101,15,0,1195,442,753,1,1195,442,753,1,1,2,1,2, , ,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,8,16,28,10,18,1,1,1
2015,13601914012,G,G45,G4510,3,4,101,1,3893,24,0,0,25,3,0,49,12,37,1,42,12,30,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,1,1,1
2015,13601916015,C,C11,C1101,1,5,101,1,4430,59,0,14,20,0,0,37,18,19,1,37,18,19,1,1,2,1,1,0,5,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,3,1,2,2,1,1
2015,13601917011,C,C23,C2393,1,5,101,2,0,16,0,4,7,0,0,20,10,10,1,20,10,10,1,2,2,1,2, , ,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2, , ,1,0,1,2,1,1
2015,13601918018,C,C14,C1410,1,5,101,1,21586,160,0,9,0,0,0,160,110,50,1,30,18,12,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,0,2,8,3,5,1,1,1
2015,13601920012,C,C10,C1074,1,4,101,1,4383,12,0,0,0,7,0,20,12,8,1,16,10,6,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,0,1,5,2,3,2,1,1
2015,13601922015,G,G45,G4510,3,5,101,1,37512,240,0,0,60,0,0,167,107,60,1,167,107,60,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2, , ,4,2,2,1,1,1
2015,13601926011,C,C24,C2410,1,5,101,1,690,53,0,0,44,0,0,87,14,73,1,30,10,20,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2, , ,4,0,4,1,1,1
2015,13601927017,C,C25,C2599,1,5,101,2,0,26,0,0,43,0,0,69,10,59,1,28,8,20,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2, , ,2,0,2,1,1,1
2015,13601928013,C,C15,C1511,1,4,101,1,2109,35,3,0,2,0,0,46,15,31,1,46,15,31,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,0,1,5,2,3,1,1,1
2015,13601929010,C,C22,C2211,1,5,101,1,91088,168,0,60,194,21,0,237,53,184,1,25,0,25,1,2,2,1,2, , ,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,0,6,6,0,6,1,1,1
2015,13601930018,C,C18,C1811,1,5,101,1,83144,119,0,3,0,0,0,123,47,76,1,79,28,51,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2, , ,6,3,3,1,1,1
2015,13601931014,C,C18,C1811,1,4,101,1,30310,103,0,0,0,0,0,94,43,51,1,94,43,51,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2, , ,2,0,2,1,1,1
2015,13601932011,G,G45,G4510,3,5,101,1,74552,496,0,0,87,0,0,180,80,100,1,130,50,80,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,3,0,4,3,1,1,1,1
2015,13601936016,Q,Q86,Q8610,4,5,101,1,13311,65,0,0,0,0,0,185,160,25,1,185,160,25,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,0,0,0,0,1,1,1
2015,13601939015,G,G46,G4649,3,5,101,1,222656,454,0,0,0,0,0,452,326,126,1,452,326,126,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,0,7,7,0,7,1,2,1
2015,13601942016,C,C23,C2393,1,2,101,1,1334,13,0,0,0,0,0,13,9,4,1,13,9,4,1,2,2,1,1,0,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,0,1,1,0,2,1,1
2015,13601946011,I,I55,I5510,4,4,101,1,4596,20,0,0,0,0,0,42,12,30,1,30,10,20,1,2,2,1,2, , ,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2, , ,1,0,1,2,1,1
2015,13601948014,G,G46,G4630,3,2,101,1,2801,17,0,0,0,0,0,17,10,7,1,17,10,7,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2, , ,0,0,0,1,1,1
2015,13601954014,C,C32,C3211,1,4,101,1,4237,40,0,0,7,0,0,47,32,15,1,30,20,10,1,2,2,1,2, , ,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2, , ,2,1,1,2,1,1
2015,13601955011,C,C14,C1410,1,5,101,2,0,12,0,0,0,0,0,12,7,5,1,12,7,5,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13601980015,C,C18,C1811,1,5,101,1,15255,60,0,0,0,0,0,60,26,34,1,44,18,26,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2, , ,2,1,1,1,1,1
2015,13601984011,G,G46,G4690,3,4,101,1,3813,100,0,0,20,0,0,95,50,45,1,95,50,45,1,2,2,1,2, , ,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,4,0,4,0,4,1,1,1
2015,13601986013,C,C22,C2220,1,5,101,1,55708,64,0,0,27,0,0,91,30,61,1,91,30,61,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2, , ,2,1,1,1,1,1
2015,13601990011,G,G46,G4641,3,2,101,1,12263,15,0,0,0,0,0,15,8,7,1,12,7,5,1,2,2,1,2, , ,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2, , ,0,0,0,1,1,1
