;Origen;Destino;Distancia
0;(-0.2163172, -78.464282);(-0.2352449, -78.4710614);11566
1;(-0.2163172, -78.464282);(-0.2350708, -78.5038906);13026
2;(-0.2163172, -78.464282);(-0.2344857, -78.4763959);11836
3;(-0.2163172, -78.464282);(-0.1643507, -78.4565223);10954
4;(-0.2163172, -78.464282);(-0.1852329, -78.4362088);8502
5;(-0.2163172, -78.464282);(-0.1461535, -78.5144057);20059
6;(-0.2163172, -78.464282);(-0.1269491, -78.4481262);14648
7;(-0.2163172, -78.464282);(-0.2290423, -78.5189432);19683
8;(-0.2163172, -78.464282);(-0.2138075, -78.5265402);20914
9;(-0.2163172, -78.464282);(-0.2107426, -78.4506721);3511
10;(-0.2163172, -78.464282);(-0.235261, -78.4715368);6989
11;(-0.2163172, -78.464282);(-0.2219491, -78.5324428);19413
12;(-0.2163172, -78.464282);(-0.1370769, -78.5124341);19759
13;(-0.2163172, -78.464282);(-0.1919044, -78.5203769);16040
14;(-0.2163172, -78.464282);(-0.2229887, -78.4842786);13756
15;(-0.2163172, -78.464282);(-0.2037, -78.5179089);14174
16;(-0.2352449, -78.4710614);(-0.2350708, -78.5038906);17871
17;(-0.2352449, -78.4710614);(-0.2344857, -78.4763959);16682
18;(-0.2352449, -78.4710614);(-0.1643507, -78.4565223);13215
19;(-0.2352449, -78.4710614);(-0.1852329, -78.4362088);10762
20;(-0.2352449, -78.4710614);(-0.1461535, -78.5144057);22319
21;(-0.2352449, -78.4710614);(-0.1269491, -78.4481262);16909
22;(-0.2352449, -78.4710614);(-0.2290423, -78.5189432);24529
23;(-0.2352449, -78.4710614);(-0.2138075, -78.5265402);25760
24;(-0.2352449, -78.4710614);(-0.2107426, -78.4506721);6726
25;(-0.2352449, -78.4710614);(-0.235261, -78.4715368);11835
26;(-0.2352449, -78.4710614);(-0.2219491, -78.5324428);24259
27;(-0.2352449, -78.4710614);(-0.1370769, -78.5124341);22019
28;(-0.2352449, -78.4710614);(-0.1919044, -78.5203769);18300
29;(-0.2352449, -78.4710614);(-0.2229887, -78.4842786);18602
30;(-0.2352449, -78.4710614);(-0.2037, -78.5179089);16434
31;(-0.2350708, -78.5038906);(-0.2344857, -78.4763959);5887
32;(-0.2350708, -78.5038906);(-0.1643507, -78.4565223);22814
33;(-0.2350708, -78.5038906);(-0.1852329, -78.4362088);20362
34;(-0.2350708, -78.5038906);(-0.1461535, -78.5144057);18404
35;(-0.2350708, -78.5038906);(-0.1269491, -78.4481262);26508
36;(-0.2350708, -78.5038906);(-0.2290423, -78.5189432);7509
37;(-0.2350708, -78.5038906);(-0.2138075, -78.5265402);8253
38;(-0.2350708, -78.5038906);(-0.2107426, -78.4506721);16326
39;(-0.2350708, -78.5038906);(-0.235261, -78.4715368);21435
40;(-0.2350708, -78.5038906);(-0.2219491, -78.5324428);6752
41;(-0.2350708, -78.5038906);(-0.1370769, -78.5124341);18104
42;(-0.2350708, -78.5038906);(-0.1919044, -78.5203769);12414
43;(-0.2350708, -78.5038906);(-0.2229887, -78.4842786);7072
44;(-0.2350708, -78.5038906);(-0.2037, -78.5179089);8862
45;(-0.2344857, -78.4763959);(-0.1643507, -78.4565223);18143
46;(-0.2344857, -78.4763959);(-0.1852329, -78.4362088);15690
47;(-0.2344857, -78.4763959);(-0.1461535, -78.5144057);24493
48;(-0.2344857, -78.4763959);(-0.1269491, -78.4481262);21837
49;(-0.2344857, -78.4763959);(-0.2290423, -78.5189432);13045
50;(-0.2344857, -78.4763959);(-0.2138075, -78.5265402);14276
51;(-0.2344857, -78.4763959);(-0.2107426, -78.4506721);11654
52;(-0.2344857, -78.4763959);(-0.235261, -78.4715368);16763
53;(-0.2344857, -78.4763959);(-0.2219491, -78.5324428);12775
54;(-0.2344857, -78.4763959);(-0.1370769, -78.5124341);24193
55;(-0.2344857, -78.4763959);(-0.1919044, -78.5203769);18504
56;(-0.2344857, -78.4763959);(-0.2229887, -78.4842786);7118
57;(-0.2344857, -78.4763959);(-0.2037, -78.5179089);13225
58;(-0.1643507, -78.4565223);(-0.1852329, -78.4362088);8432
59;(-0.1643507, -78.4565223);(-0.1461535, -78.5144057);13031
60;(-0.1643507, -78.4565223);(-0.1269491, -78.4481262);8868
61;(-0.1643507, -78.4565223);(-0.2290423, -78.5189432);19939
62;(-0.1643507, -78.4565223);(-0.2138075, -78.5265402);25611
63;(-0.1643507, -78.4565223);(-0.2107426, -78.4506721);11544
64;(-0.1643507, -78.4565223);(-0.235261, -78.4715368);11686
65;(-0.1643507, -78.4565223);(-0.2219491, -78.5324428);19370
66;(-0.1643507, -78.4565223);(-0.1370769, -78.5124341);12731
67;(-0.1643507, -78.4565223);(-0.1919044, -78.5203769);14236
68;(-0.1643507, -78.4565223);(-0.2229887, -78.4842786);18453
69;(-0.1643507, -78.4565223);(-0.2037, -78.5179089);15517
