todo,unq_id
"-0.235261, -78.4715368",1
"-0.2229887, -78.4842786",2
"-0.2350708, -78.5038906",3
"-0.2344857, -78.4763959",4
"-0.2163172, -78.464282",5
"-0.2352449, -78.4710614",6
"-0.1643507, -78.4565223",7
"-0.1852329, -78.4362088",8
"-0.1461535, -78.5144057",9
"-0.1269491, -78.4481262",10
"-0.2290423, -78.5189432",11
"-0.2138075, -78.5265402",12
"-0.2107426, -78.4506721",13
"-0.1919044, -78.5203769",14
"-0.1370769, -78.5124341",15
"-0.2219491, -78.5324428",16
"-0.2037, -78.5179089",17
