Year,San_Cristobal,Charles_Darwin,Bellavista_highland,Bellavista_wet,Bellavista_dry,Charles_Darwin_wet,Charles_Darwin_dry
1981,23.81,23.56014031,,,,25.54484058,22.14249726
1982,25.20,24.9363057,,,,25.78319819,24.33138249
1983,25.74,25.73922299,,,,27.44557604,24.52039939
1984,23.73,23.06333951,,,,24.78582128,21.83299539
1985,23.04,22.64304117,,,,24.36575115,21.41253403
1986,24.27,24.03632104,,,,25.62764363,22.89966206
1987,24.78,25.09131848,,,,26.86785253,23.82236559
1988,22.85,22.84906872,21.81644646,24.55187197,19.86257109,25.3664531,21.05093702
1989,23.75,23.64296787,22.55464103,24.84195388,20.92084613,25.76927343,22.12417819
1990,24.27,23.83720558,22.37661074,24.59821505,20.78975052,26.0589063,22.2502765
1991,24.55,24.34797811,22.78664396,24.69991287,21.42002331,25.92209985,23.22360544
1992,,24.2530194,22.74111636,25.3302195,20.89175698,26.93795625,22.33520737
1993,24.78,24.66135692,22.97024871,24.91210599,21.5832078,26.35055929,23.4547838
1994,23.83,23.67210905,22.67391779,24.71354839,21.21703878,25.21439877,22.57047354
1995,23.65,23.50565012,22.44398747,25.12730037,20.5273354,25.623211,21.99310663
1996,23.01,22.7490933,21.74396428,24.37234705,19.86654802,24.9592381,21.17041845
1997,26.38,26.16336403,24.57129166,24.76383954,24.43375746,25.98532099,26.29053763
1998,25.39,25.01304403,24.0047918,26.29274074,22.37054255,27.49324117,23.24147465
1999,23.52,23.15749375,22.41735522,24.80536025,20.71163734,25.07252842,21.78961184
2000,23.80,23.60040044,22.30345645,24.69857937,20.59265436,25.69197182,22.10642089
2001,23.68,23.37483761,22.18553219,25.04146928,20.14557713,25.81596621,21.63117432
2002,24.33,23.94119368,22.69164619,24.99921966,21.04337942,25.86860676,22.56447005
2003,24.26,23.8224552,22.68714222,24.96634562,21.05913978,25.62262366,22.53662058
2004,24.47,23.74690366,22.48520338,24.9056279,20.75632873,25.79919244,22.2809831
2005,24.23,23.79824693,22.83549261,24.96192012,21.31661582,25.98439478,22.23671275
2006,25.06,24.6872139,23.40586918,25.19195699,22.13009217,25.97170046,23.7697235
2007,23.09,22.82445954,21.80152765,24.73370937,19.70711214,25.56952381,20.86369935
2008,24.85,24.51968978,22.91369577,23.93897738,22.18135177,25.81467334,23.59470152
2009,24.93,24.78078023,23.32674789,24.96193241,22.15875894,26.22761598,23.74732613
2010,23.94,23.79417264,22.1525667,24.9724122,20.13839133,26.92556272,21.55746544
2011,24.60,24.32384985,22.88117847,24.7988172,21.51143652,26.27627189,22.92926267
2012,25.08,24.64453652,23.24387946,25.18794512,21.85526114,26.52662959,23.30018433
2013,23.78,23.58743472,22.90308841,25.19063799,21.26912442,25.90807988,21.92983103
2014,25.38,25.17062852,25.45576037,25.45576037,,27.00632565,23.85941628
2015,25.57,25.99030964,22.90154589,,22.90154589,26.85138829,25.37525346
2016,25.16,24.53288619,22.79893956,25.45197108,20.90391705,26.91624686,22.83048571
2017,23.37,24.19484573,22.11548005,25.07222888,20.00351661,26.9138233,22.25271889
