Oni_date,ONI,"ElNino Index 1,2_temp","ElNino Index 1,2_annomaly",WC_Tx_Muis,WC_Tn_Muis,WC_Ra_Muis,WC_Tx_Quin,WC_Tn_Quin,WC_Ra_Quin,WC_Tx_Pvie,WC_Tn_Pvie,WC_Ra_Pvie,WC_Tx_Chon,WC_Tn_Chon,WC_Ra_Chon,WC_Tx_Calc,WC_Tn_Calc,WC_Ra_Calc,WC_Tx_Guaq,WC_Tn_Guaq,WC_Ra_Guaq,WC_Tx_Mila,WC_Tn_Mila,WC_Ra_Mila,WC_Tx_Scru,WC_Tn_Scru,WC_Ra_Scru,WC_Tx_Scri,WC_Tn_Scri,WC_Ra_Scri,IN_Ta_Muis,IN_Tx_Muis,IN_Tn_Muis,IN_Ra_Muis,IN_Ta_Quin,IN_Tx_Quin,IN_Tn_Quin,IN_Ra_Quin,IN_Ta_Pvie,IN_Tx_Pvie,IN_Tn_Pvie,IN_Ra_Pvie,IN_Ta_Chon,IN_Tx_Chon,IN_Tn_Chon,IN_Ra_Chon,IN_Ta_Calc,IN_Tx_Calc,IN_Tn_Calc,IN_Ra_Calc,IN_Ta_Guag,IN_Tx_Guag,IN_Tn_Guag,IN_Ra_Guag,IN_Ta_Mila,IN_Tx_Mila,IN_Tn_Mila,IN_Ra_Mila,IN_Ta_Scru,IN_Tx_Scru,IN_Tn_Scru,IN_Ra_Scru,IN_Ta_Scri,IN_Tx_Scri,IN_Tn_Scri,IN_Ra_Scri,WC_Tn_Taba,WC_Tx_Taba,WC_Ra_Taba,WC_Tn_Quit,WC_Tx_Quit,WC_Ra_Quit,WC_Tn_Papa,WC_Tx_Papa,WC_Ra_Papa,WC_Tn_Izob,WC_Tx_Izob,WC_Ra_Izob,WC_Tn_Sier,WC_Tx_Sier,WC_Ra_Sier,IN_Ta_Taba,IN_Tx_Taba,IN_Tn_Taba,IN_Ra_Taba,IN_Ta_Quit,IN_Tx_Quit,IN_Tn_Quit,IN_Ra_Quit,IN_Ta_Papa,IN_Tx_Papa,IN_Tn_Papa,IN_Ra_Papa,IN_Ta_Izob,IN_Tx_Izob,IN_Tn_Izob,IN_Ra_Izob,IN_Ta_Sier,IN_Tx_Sier,IN_Tn_Sier,IN_Ra_Sier,WC_Tn_Lumb,WC_Tx_Lumb,WC_Ra_Lumb,WC_Tn_Yasu,WC_Tx_Yasu,WC_Ra_Yasu,WC_Tn_Glqz,WC_Tx_Glqz,WC_Ra_Glqz,WC_Tn_Tena,WC_Tx_Tena,WC_Ra_Tena,WC_Tn_Maca,WC_Tx_Maca,WC_Ra_Maca,WC_Tn_Sang,WC_Tx_Sang,WC_Ra_Sang,WC_Tn_Puyo,WC_Tx_Puyo,WC_Ra_Puyo,WC_Tn_Yanz,WC_Tx_Yanz,WC_Ra_Yanz,IN_Ta_Lumb,IN_Tn_Lumb,IN_Tx_Lumb,IN_Ra_Lumb,IN_Ta_Yasu,IN_Tn_Yasu,IN_Tx_Yasu,IN_Ra_Yasu,IN_Ta_Glqz,IN_Tm_Glqz,IN_Tx_Glqz,IN_Ra_Glqz,IN_Ta_Puyo,IN_Tn_Puyo,IN_Tx_Puyo,IN_Ra_Puyo,IN_Ta_Maca,IN_Tn_Maca,IN_Tx_Maca,IN_Ra_Maca,IN_Ta_Sang,IN_Tn_Sang,IN_Tx_Sang,IN_Ra_Sang,IN_Ta_Tena,IN_Tn_Tena,IN_Tx_Tena,IN_Ra_Tena,IN_Ta_Yanz,IN_Tn_Yanz,IN_Tx_Yanz,IN_Ra_Yanz
Jan-60,-0.10,24.23,-0.33,29.00,22.00,234.30,29.00,21.00,315.80,31.00,21.00,67.00,30.25,21.00,191.05,31.00,21.00,143.00,30.00,22.00,176.30,30.00,21.00,222.00,28.00,19.00,10.50,28.00,21.00,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,22.00000,54.50000,8.00000,20.00000,81.30000,3.00000,14.00000,93.50000,5.00000,18.00000,114.30000,9.00000,21.00000,85.10000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,202.80,21.00,32.00,159.30,17.00,27.00,90.90,18.00,29.00,259.10,16.00000,26.00000,153.89999,17.00000,27.00000,268.20001,17.00000,26.00000,275.10001,18.00000,29.00000,114.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-60,-0.10,25.68,-0.42,30.00,22.00,193.10,30.00,21.00,249.90,30.00,22.00,72.20,30.25,21.00,187.58,31.00,21.00,138.10,30.00,22.00,156.70,30.00,22.00,197.30,29.00,21.00,5.80,30.00,22.00,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,69.80000,8.00000,20.00000,97.20000,3.00000,14.00000,83.50000,5.00000,17.00000,113.70000,9.00000,20.00000,103.50000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,209.50,21.00,31.00,181.60,17.00,27.00,83.70,18.00,28.00,225.60,16.00000,26.00000,128.50000,17.00000,26.00000,239.80000,16.00000,26.00000,247.39999,19.00000,29.00000,113.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-60,-0.10,26.24,-0.25,30.00,22.00,231.00,30.00,21.00,402.80,31.00,22.00,112.70,31.00,21.00,290.00,32.00,21.00,228.40,31.00,22.00,227.80,31.00,22.00,292.50,30.00,21.00,14.30,31.00,22.00,30.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,92.00000,8.00000,20.00000,128.89999,3.00000,14.00000,109.40000,5.00000,17.00000,146.00000,9.00000,20.00000,150.60001,,,,,,,,,,,,,,,,,,,,,18.00,29.00,266.10,21.00,31.00,239.50,17.00,27.00,130.10,18.00,29.00,370.20,16.00000,26.00000,219.10001,17.00000,27.00000,369.89999,16.00000,26.00000,385.50000,19.00000,29.00000,129.70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-60,0.00,24.43,-1.11,30.00,22.00,141.80,30.00,21.00,236.20,31.00,21.00,46.80,31.00,21.00,127.33,32.00,21.00,91.00,31.00,22.00,138.30,31.00,21.00,172.70,28.00,20.00,1.10,29.00,21.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,75.70000,8.00000,20.00000,106.70000,3.00000,13.00000,81.30000,5.00000,17.00000,111.60000,9.00000,20.00000,157.10001,,,,,,,,,,,,,,,,,,,,,18.00,29.00,250.90,20.00,30.00,274.90,17.00,27.00,194.70,18.00,28.00,333.40,15.00000,25.00000,188.70000,16.00000,26.00000,321.70001,16.00000,26.00000,344.60001,18.00000,29.00000,205.60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-60,0.00,23.33,-1.09,29.00,21.00,79.80,30.00,21.00,103.40,30.00,20.00,14.80,29.50,21.00,33.35,30.00,21.00,21.80,30.00,21.00,38.50,30.00,20.00,39.70,27.00,19.00,2.30,28.00,21.00,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,39.60000,8.00000,20.00000,57.70000,3.00000,13.00000,71.90000,5.00000,17.00000,69.00000,9.00000,20.00000,127.00000,,,,,,,,,,,,,,,,,,,,,18.00,28.00,216.00,20.00,30.00,318.10,17.00,27.00,167.90,18.00,28.00,293.00,15.00000,25.00000,156.00000,16.00000,26.00000,230.70000,16.00000,25.00000,266.50000,18.00000,28.00000,164.70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-60,0.00,21.71,-1.41,29.00,20.00,48.30,29.00,20.00,40.70,29.00,20.00,3.90,28.50,20.00,10.85,29.00,20.00,6.90,29.00,20.00,6.20,29.00,19.00,7.70,25.00,18.00,3.80,26.00,20.00,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,9.90000,7.00000,20.00000,11.20000,2.00000,13.00000,34.70000,4.00000,17.00000,17.90000,8.00000,19.00000,68.80000,,,,,,,,,,,,,,,,,,,,,18.00,28.00,134.00,20.00,29.00,282.40,16.00,26.00,66.70,17.00,27.00,154.80,15.00000,25.00000,85.70000,16.00000,25.00000,136.10001,15.00000,25.00000,150.80000,17.00000,28.00000,72.20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-60,0.10,20.64,-1.32,28.00,20.00,111.00,28.00,20.00,122.80,29.00,19.00,8.90,28.50,20.00,20.47,29.00,20.00,12.20,28.00,19.00,16.00,28.00,19.00,22.10,24.00,17.00,11.50,25.00,18.00,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,22.00000,16.60000,7.00000,20.00000,32.10000,2.00000,12.00000,181.30000,4.00000,17.00000,51.80000,9.00000,19.00000,333.89999,,,,,,,,,,,,,,,,,,,,,18.00,28.00,481.30,19.00,29.00,317.90,16.00,27.00,266.10,17.00,27.00,653.10,15.00000,24.00000,353.20001,16.00000,25.00000,483.60001,15.00000,24.00000,539.90002,17.00000,28.00000,239.60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-60,0.20,19.99,-1.02,28.00,20.00,43.80,29.00,20.00,48.10,30.00,19.00,9.60,29.50,19.25,6.70,30.00,19.00,6.70,29.00,19.00,1.90,29.00,19.00,0.90,23.00,15.00,6.80,25.00,17.00,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,23.00000,12.80000,7.00000,22.00000,25.70000,2.00000,13.00000,77.20000,4.00000,18.00000,40.70000,8.00000,20.00000,155.60001,,,,,,,,,,,,,,,,,,,,,18.00,29.00,175.60,20.00,31.00,238.80,17.00,27.00,146.50,17.00,29.00,268.20,15.00000,26.00000,173.70000,16.00000,26.00000,242.39999,15.00000,26.00000,278.20001,18.00000,29.00000,145.10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-60,0.30,20.46,-0.27,29.00,20.00,16.80,29.00,20.00,15.80,30.00,19.00,2.40,29.50,19.00,2.53,30.00,19.00,1.80,29.00,19.00,0.90,29.00,19.00,1.80,24.00,15.00,6.10,25.00,17.00,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,23.00000,10.40000,7.00000,22.00000,16.20000,1.00000,14.00000,18.60000,4.00000,18.00000,17.80000,8.00000,21.00000,38.30000,,,,,,,,,,,,,,,,,,,,,18.00,30.00,70.90,19.00,31.00,197.30,16.00,27.00,39.80,17.00,29.00,74.50,15.00000,26.00000,42.80000,16.00000,27.00000,78.80000,15.00000,27.00000,83.90000,17.00000,29.00000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-60,0.20,20.11,-0.91,29.00,20.00,34.70,29.00,20.00,24.70,29.00,19.00,5.80,29.50,19.00,4.23,30.00,19.00,3.40,29.00,19.00,2.00,29.00,19.00,1.90,24.00,16.00,7.40,25.00,17.00,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,22.00000,37.40000,7.00000,21.00000,50.20000,2.00000,14.00000,45.20000,4.00000,18.00000,52.10000,9.00000,21.00000,64.70000,,,,,,,,,,,,,,,,,,,,,18.00,30.00,154.10,20.00,31.00,230.10,17.00,28.00,44.30,17.00,29.00,138.70,15.00000,26.00000,66.80000,16.00000,27.00000,130.70000,15.00000,27.00000,147.30000,18.00000,29.00000,50.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
