base,P Atteinte:HC,P Atteinte:HP
01/01/2023 00:00:00,,0.71
01/01/2023 01:00:00,,0.49
01/01/2023 02:00:00,0.48,
01/01/2023 03:00:00,0.68,
01/01/2023 04:00:00,0.49,
01/01/2023 05:00:00,0.5,
01/01/2023 06:00:00,0.7,
01/01/2023 07:00:00,,0.5
01/01/2023 08:00:00,,0.49
01/01/2023 09:00:00,,0.6
01/01/2023 10:00:00,,0.47
01/01/2023 11:00:00,,0.5
01/01/2023 12:00:00,,0.7
01/01/2023 13:00:00,,0.5
01/01/2023 14:00:00,0.47,
01/01/2023 15:00:00,0.71,
01/01/2023 16:00:00,0.49,
01/01/2023 17:00:00,,0.73
01/01/2023 18:00:00,,0.47
01/01/2023 19:00:00,,0.49
01/01/2023 20:00:00,,0.67
01/01/2023 21:00:00,,0.5
01/01/2023 22:00:00,,0.47
01/01/2023 23:00:00,,0.75
02/01/2023 00:00:00,,0.5
02/01/2023 01:00:00,,0.5
02/01/2023 02:00:00,0.48,
02/01/2023 03:00:00,0.74,
02/01/2023 04:00:00,0.5,
02/01/2023 05:00:00,0.5,
02/01/2023 06:00:00,0.68,
02/01/2023 07:00:00,,0.5
02/01/2023 08:00:00,,3.57
02/01/2023 09:00:00,,4.71
02/01/2023 10:00:00,,4.36
02/01/2023 11:00:00,,4.53
02/01/2023 12:00:00,,4.89
02/01/2023 13:00:00,,4.5
02/01/2023 14:00:00,4.25,
02/01/2023 15:00:00,4.23,
02/01/2023 16:00:00,4.22,
02/01/2023 17:00:00,,4.05
02/01/2023 18:00:00,,3.56
02/01/2023 19:00:00,,3.12
02/01/2023 20:00:00,,3.34
02/01/2023 21:00:00,,0.52
02/01/2023 22:00:00,,0.52
02/01/2023 23:00:00,,0.7
03/01/2023 00:00:00,,0.52
03/01/2023 01:00:00,,0.69
03/01/2023 02:00:00,0.47,
03/01/2023 03:00:00,0.5,
03/01/2023 04:00:00,0.69,
03/01/2023 05:00:00,0.51,
03/01/2023 06:00:00,0.73,
03/01/2023 07:00:00,,0.47
03/01/2023 08:00:00,,3.84
03/01/2023 09:00:00,,5.66
03/01/2023 10:00:00,,5.12
03/01/2023 11:00:00,,5.3
03/01/2023 12:00:00,,5.01
03/01/2023 13:00:00,,4.61
03/01/2023 14:00:00,4.61,
03/01/2023 15:00:00,4.49,
03/01/2023 16:00:00,4.45,
03/01/2023 17:00:00,,4.79
03/01/2023 18:00:00,,4.23
03/01/2023 19:00:00,,3.38
03/01/2023 20:00:00,,3.35
03/01/2023 21:00:00,,2.68
03/01/2023 22:00:00,,1.02
03/01/2023 23:00:00,,0.51
04/01/2023 00:00:00,,0.52
04/01/2023 01:00:00,,0.65
04/01/2023 02:00:00,0.5,
04/01/2023 03:00:00,0.48,
04/01/2023 04:00:00,0.51,
