ID,Sexo,Edad,Do you know digital technologies for learning?,Do you know what is an emerging technology for learning?,Do you know the types of emerging technologies for learning?,How would you rate your ability to learn how to use a technology you have never used before?,What level of importance do you consider the use of ETs for academic learning?,Do you use or have you used an ET to support your education?,Would you like to learn with ET support?,Do you think that with the help of ET you can improve a person's academic performance?,"Do you think that in the future, with the advancement of technology, ET will be indispensable in the classroom?",Do you agree that ET should be used as a learning tool during class time?,Do you think that ETs are a tool that supports learning?,Do you think that using ET can improve your learning?,Do you think it is easy to use ET to learn? ,Do you think it is easy to learn how to use a TE and use it in education?,Does any teacher or person of authority encourage the use of ET for learning? ,Does any close relative believe that you can learn using ET?,Is it easy to download documentation on the use of ET for learning?,Do you think it would be easy to use ET in education for learning?,Is it fun to use ET for learning?,Do I enjoy learning much more if I involve some ET in the process?
9,Male,18,1,1,3,3,2,3,3,5,2,2,4,3,4,2,1,3,4,2,1,3
112,Male,18,2,2,2,2,4,3,2,4,4,2,3,3,4,3,2,4,3,2,2,3
95,Male,18,2,3,2,3,1,3,3,1,3,2,3,4,3,4,3,2,3,4,3,5
4,Male,18,2,2,3,4,2,2,2,4,4,3,4,3,3,3,3,3,4,2,3,2
58,Male,18,2,2,1,3,2,3,2,4,4,4,4,3,5,3,3,2,2,3,3,3
90,Male,18,1,3,2,3,4,4,2,4,2,3,4,4,4,4,3,2,3,3,4,2
4,Female,18,3,4,2,3,4,2,1,5,3,2,5,4,2,3,2,3,5,3,3,3
100,Male,18,3,3,3,4,4,1,4,3,4,3,4,2,3,5,2,2,3,3,2,4
20,Female,18,3,3,2,4,2,2,3,4,4,3,4,4,5,2,3,2,3,4,3,3
30,Male,18,1,3,3,3,3,4,4,3,4,3,3,4,2,3,3,3,2,4,4,4
55,Male,18,3,4,3,3,4,3,3,3,3,2,3,3,3,4,4,2,2,4,4,4
55,Male,18,3,3,2,3,3,5,4,1,4,2,4,4,5,4,3,3,5,2,3,2
55,Male,18,3,3,2,3,4,4,3,4,5,3,4,3,2,2,3,3,3,5,5,3
84,Male,18,3,3,2,4,2,4,4,4,3,4,4,3,5,4,2,2,2,4,5,3
53,Female,18,4,3,2,2,4,4,4,4,4,2,5,3,3,4,2,5,4,3,3,3
103,Male,18,4,2,2,4,3,5,3,3,4,3,4,4,3,4,3,3,3,3,5,3
