FECHA,QH0889,QH0894,PRECIPITACION M0141,PRECIPITACION M0501,PRECIPITACION M0431,SST,SPI M0141,SPI M0501,SPI M0431
1980-01,54.521,15.784,119.3,245.5,,27.16,0.37,0.88,
1980-02,54.666,30.408,120.2,31.4,,27.57,0.39,-1.51,
1980-03,120.46,37.035,128.8,161.2,,27.85,0.57,-0.06,
1980-04,110.465,85.364,156.6,224.3,,28.18,1.16,0.65,
1980-05,92.278,46.099,75.3,82.8,,28.17,-0.56,-0.93,
1980-06,153.654,63.712,91.0,178.7,,27.86,-0.23,0.14,
1980-07,141.59,80.768,116.0,154.0,,27.37,0.30,-0.14,
1980-08,65.978,39.99,69.0,168.3,,26.92,-0.69,0.02,
1980-09,74.513,38.7,46.4,189.5,,26.87,-1.17,0.26,
1980-10,78.252,68.728,157.9,345.7,,26.86,1.18,2.00,
1980-11,57.877,46.307,172.9,103.8,,27.26,1.50,-0.70,
1980-12,56.097,39.157,111.3,19.9,,27.16,0.20,-1.64,
1981-01,41.517,,54.8,29.9,,27.15,-0.99,-1.52,
1981-02,82.59,,168.0,141.2,,27.28,1.40,-0.28,
1981-03,79.129,,250.1,97.4,,27.65,3.13,-0.77,
1981-04,91.654,,145.4,130.0,,27.85,0.92,-0.41,
1981-05,54.307,,114.5,140.1,,27.98,0.27,-0.29,
1981-06,106.142,,88.3,100.8,,27.42,-0.28,-0.73,
1981-07,90.242,,89.5,99.3,,26.82,-0.26,-0.75,
1981-08,53.67,,64.3,121.8,,26.30,-0.79,-0.50,
1981-09,39.961,,64.1,158.6,,26.30,-0.80,-0.09,
1981-10,40.806,,73.8,83.3,,26.32,-0.59,-0.93,
1981-11,30.064,,33.0,157.7,,26.33,-1.45,-0.10,
1981-12,54.812,,144.7,,,26.49,0.91,,
1982-01,37.346,,102.4,89.9,131.2,26.57,0.01,-0.85,0.26
1982-02,35.319,,60.8,63.0,76.1,26.85,-0.86,-1.15,-0.71
1982-03,50.699,,89.1,225.2,80.7,27.43,-0.27,0.66,-0.63
1982-04,70.06,,144.1,299.9,81.4,27.82,0.89,1.49,-0.62
1982-05,89.29,,178.1,178.0,126.8,27.99,1.61,0.13,0.18
1982-06,83.156,,53.9,271.5,,27.49,-1.01,1.17,
1982-07,103.968,,111.4,211.7,,26.79,0.20,0.51,
1982-08,91.149,,79.1,97.6,,26.33,-0.48,-0.77,
1982-09,58.912,,118.8,206.4,,26.22,0.36,0.45,
1982-10,49.69,,171.6,108.0,,26.24,1.47,-0.65,
1982-11,56.593,,85.8,190.3,,26.33,-0.34,0.27,
1982-12,63.055,,186.0,,,26.37,1.78,,
1983-01,106.734,64.747,146.9,174.7,117.5,26.45,0.95,0.09,0.01
1983-02,103.959,64.134,104.9,45.9,193.2,26.59,0.07,-1.35,1.35
1983-03,93.805,68.543,166.6,241.8,139.1,27.00,1.37,0.84,0.39
1983-04,67.7,96.25,149.7,222.9,145.3,27.29,1.01,0.63,0.50
1983-05,99.32,83.372,187.8,271.4,120.8,27.42,1.81,1.17,0.07
1983-06,78.231,37.671,59.3,131.0,54,27.15,-0.90,-0.40,-1.10
1983-07,74.531,29.4,50.5,110.4,147.2,26.68,-1.08,-0.63,0.54
1983-08,60.916,38.485,71.1,144.9,111.4,26.45,-0.65,-0.24,-0.09
1983-09,77.404,36.004,56.9,205.4,109,26.40,-0.95,0.44,-0.14
1983-10,80.16,57.62,140.5,237.8,159.9,26.57,0.82,0.80,0.76
1983-11,49.091,57.62,77.0,145.2,33,26.77,-0.52,-0.24,-1.47
1983-12,54.664,57.62,156.6,81.5,153.1,26.85,1.16,-0.95,0.64
1984-01,36.188,,50.2,96.0,134.8,26.92,-1.09,-0.79,0.32
1984-02,71.306,,179.2,194.0,222.2,27.17,1.63,0.31,1.86
1984-03,70.258,,142.2,145.8,147.8,27.50,0.85,-0.23,0.55
1984-04,59.251,,162.6,244.5,253.6,27.89,1.28,0.87,2.41
1984-05,59.251,,102.7,63.1,253.4,27.99,0.02,-1.15,2.41
1984-06,59.251,,93.0,181.0,322.6,27.69,-0.19,0.16,3.62
1984-07,59.251,,77.8,96.4,266.5,27.14,-0.51,-0.78,2.64
1984-08,59.251,,70.3,240.5,136.3,26.83,-0.66,0.83,0.35
1984-09,59.251,,119.9,122.1,169,26.69,0.38,-0.49,0.92
1984-10,59.251,,116.8,129.3,101,26.78,0.32,-0.41,-0.28
1984-11,59.251,,82.9,75.5,86.8,26.81,-0.40,-1.02,-0.53
1984-12,59.251,,71.4,165.7,104.2,27.65,-0.64,-0.01,-0.22
1985-01,37.068,22.431,67.7,56.2,63.2,27.27,-0.72,-1.23,-0.94
1985-02,51.012,20.028,43.8,39.2,115.7,27.38,-1.22,-1.42,-0.02
1985-03,70.17,17.865,27.5,96.5,63.6,27.62,-1.57,-0.78,-0.93
1985-04,47.152,24.897,129.5,165.6,159.1,28.97,0.58,-0.01,0.75
1985-05,95.662,41.707,72.6,159.9,204.7,28.14,-0.62,-0.07,1.55
1985-06,142.84,116.329,90.3,253.4,308.8,27.77,-0.24,0.97,3.38
1985-07,109.067,92.859,89.8,171.4,334.9,27.35,-0.25,0.06,3.84
1985-08,106.82,65.656,67.7,202.2,308.5,27.72,-0.72,0.40,3.38
1985-09,58.863,38.227,53.4,125.5,113.3,27.14,-1.02,-0.46,-0.06
1985-10,60.998,34.638,71.4,71.3,54.6,27.29,-0.64,-1.06,-1.09
1985-11,44.446,32.377,82.2,99.6,45.4,27.49,-0.41,-0.75,-1.25
1985-12,38.597,28.145,127.0,48.3,43,27.47,0.53,-1.32,-1.30
1986-01,56.387,29.358,75.0,16.5,116.8,27.44,-0.57,-1.67,0.00
1986-02,39.802,32.927,79.3,51.7,142.8,27.63,-0.47,-1.28,0.46
1986-03,48.969,68.292,100.8,91.8,113.3,27.84,-0.02,-0.83,-0.06
1986-04,110.325,55.609,153.5,121.6,235.6,28.21,1.09,-0.50,2.09
1986-05,95.221,54.909,90.1,119.6,229.1,28.36,-0.25,-0.52,1.98
1986-06,67.152,95.963,54.3,204.3,204.4,27.50,-1.00,0.42,1.54
1986-07,109.07,31.598,97.4,35.5,264.5,26.71,-0.09,-1.46,2.60
1986-08,60.707,57.498,26.3,104.6,180.4,26.20,-1.59,-0.69,1.12
1986-09,74.181,51.975,97.6,54.8,206.6,26.87,-0.09,-1.25,1.58
1986-10,52.972,51.359,112.2,60.9,249.3,26.21,0.22,-1.18,2.33
1986-11,58.022,31.263,101.5,63.6,195.4,26.33,-0.01,-1.15,1.39
1986-12,77.396,50.98,66.6,,94.4,26.50,-0.74,0.00,-0.39
1987-01,82.693,22.412,66.1,39.7,115.5,26.54,-0.75,-1.42,-0.02
1987-02,159.204,66.041,114.8,45.8,214,26.81,0.27,-1.35,1.71
1987-03,66.897,65.984,97.1,36.4,167.9,27.39,-0.10,-1.45,0.90
1987-04,79.98,53.212,147.6,30.6,291.1,28.94,0.97,-1.52,3.07
1987-05,75.38,87.197,119.2,89.0,200.7,28.19,0.37,-0.86,1.48
1987-06,85.714,54.536,48.6,67.9,171.4,27.61,-1.12,-1.10,0.96
1987-07,128.404,66.248,86.4,19.3,185.4,26.93,-0.32,-1.64,1.21
1987-08,66.555,44.073,68.5,33.1,127,26.56,-0.70,-1.49,0.18
1987-09,55.729,44.595,86.8,37.6,140.7,26.41,-0.32,-1.44,0.42
1987-10,42.775,41.985,94.3,48.9,87.5,26.25,-0.16,-1.31,-0.51
1987-11,29.617,12.548,97.6,18.0,117.9,26.30,-0.09,-1.66,0.02
1987-12,50.931,20.098,34.6,21.6,103,26.30,-1.42,-1.62,-0.24
1988-01,58.566,28.528,149.8,26.7,60.7,26.41,1.01,-1.56,-0.99
1988-02,86.096,53.615,140.9,39.1,132.6,26.50,0.83,-1.42,0.28
1988-03,70.677,26.818,52.8,26.2,94.8,26.82,-1.03,-1.57,-0.39
1988-04,76.246,97.131,264.4,70.4,165.6,27.36,3.43,-1.07,0.86
1988-05,74.711,115.031,102.2,56.8,134.6,26.82,0.01,-1.22,0.32
1988-06,52.489,76.016,53.2,83.3,83.6,26.29,-1.03,-0.93,-0.58
1988-07,80.348,89.167,81.8,,37.8,25.80,-0.42,,-1.39
1988-08,47.75,58.674,,,119.4,25.48,0.00,,0.05
1988-09,34.002,70.657,45.1,,129.2,25.46,-1.20,,0.22
1988-10,46.032,95.442,121.4,,26.8,25.79,0.41,,-1.58
1988-11,46.047,96.686,163.9,,,25.93,1.31,,
1988-12,30.533,36.795,121.3,,,26.79,0.41,,
1989-01,89.683,81.399,171.2,25.5,73.2,26.23,1.46,-1.57,-0.77
1989-02,67.634,112.597,175.2,,71.1,26.66,1.55,,-0.80
1989-03,57.115,150.28,159.7,,118.6,27.68,1.22,,0.03
1989-04,70.33,113.188,80.0,,76,27.46,-0.46,,-0.72
1989-05,114.82,147.675,81.6,,109.1,27.76,-0.43,,-0.13
1989-06,124.044,162.47,125.1,,161.2,27.41,0.49,,0.78
1989-07,85.142,150.524,95.0,,145.9,26.83,-0.14,,0.51
1989-08,64.808,102.647,31.8,,51.4,26.50,-1.48,,-1.15
1989-09,51.329,88.127,93.8,,55.7,26.50,-0.17,,-1.07
1989-10,72.784,125.155,103.2,,101.9,26.73,0.03,,-0.26
1989-11,50.671,86.871,27.2,,42.2,26.97,-1.57,,-1.31
1989-12,27.385,45.685,22.7,,17.5,27.20,-1.67,,-1.75
1990-01,88.546,26.785,101.5,94.6,96.9,27.14,-0.01,-0.80,-0.35
1990-02,72.805,53.502,62.7,146.6,62.4,27.27,-0.82,-0.22,-0.96
1990-03,145.554,64.937,118.8,303.6,136.1,27.62,0.36,1.53,0.34
1990-04,98.779,111.337,140.5,292.4,139.9,28.12,0.82,1.41,0.41
1990-05,83.997,71.779,128.4,85.9,85.1,28.23,0.56,-0.90,-0.56
1990-06,175.931,65.339,89.3,202.6,192.6,27.79,-0.26,0.40,1.34
1990-07,109.499,30.507,81.8,122.0,87.3,27.14,-0.42,-0.50,-0.52
1990-08,74.423,44.93,55.1,206.7,140.2,26.84,-0.99,0.45,0.41
1990-09,60.555,38.094,,170.3,79.1,26.97,0.00,0.04,-0.66
1990-10,46.545,32.153,153.9,153.5,116.5,27.13,1.10,-0.14,0.00
1990-11,77.091,53.94,91.2,112.7,93,27.37,-0.22,-0.60,-0.42
1990-12,84.838,53.94,55.7,,73.2,27.58,-0.97,0.00,-0.77
1991-01,53.264,,42.8,130.4,67.1,27.57,-1.24,-0.40,-0.87
1991-02,97.557,,63.1,134.9,102.8,27.78,-0.82,-0.35,-0.24
1991-03,89.39,,126.1,63.8,70,28.63,0.51,-1.15,-0.82
1991-04,71.198,,102.0,186.9,120.4,28.33,0.00,0.23,0.07
1991-05,79.929,,131.0,273.5,165.2,28.43,0.62,1.20,0.85
1991-06,103.776,,,289.4,160.3,27.93,0.00,1.37,0.77
1991-07,124.918,,118.9,209.1,137.4,27.44,0.36,0.48,0.36
1991-08,72.191,,87.1,141.1,138.6,27.29,-0.31,-0.28,0.39
1991-09,47.678,,61.7,99.3,62.2,26.93,-0.85,-0.75,-0.96
1991-10,46.283,,100.4,91.9,69.2,26.65,-0.03,-0.83,-0.84
1991-11,39.901,,158.6,107.3,84.7,26.90,1.20,-0.66,-0.56
1991-12,32.839,,88.1,80.1,35.5,26.73,-0.29,-0.96,-1.43
1992-01,48.697,,40.2,17.7,23.2,26.70,-1.30,-1.66,-1.65
1992-02,46.898,,109.8,115.8,56.5,26.82,0.17,-0.57,-1.06
1992-03,92.351,,152.6,162.5,109.9,27.11,1.07,-0.04,-0.12
1992-04,58.831,,,109.6,105.5,27.56,0.00,-0.63,-0.20
1992-05,117.258,,88.5,200.3,91.3,27.91,-0.28,0.38,-0.45
1992-06,120.819,,,193.7,180.3,27.69,0.00,0.31,1.12
1992-07,59.042,,58.8,111.8,179.6,27.16,-0.91,-0.61,1.11
1992-08,74.792,,39.6,111.3,65.2,26.83,-1.31,-0.62,-0.91
1992-09,45.181,,,92.5,87.2,26.90,0.00,-0.83,-0.52
1992-10,42.684,,,84.2,38.7,27.20,0.00,-0.92,-1.37
1992-11,62.66,,,208.8,64.6,27.44,0.00,0.47,-0.92
1992-12,69.928,,89.3,162.6,85.8,27.45,-0.26,-0.04,-0.54
1993-01,51.965,,130.9,200.6,44.4,27.54,0.61,0.38,-1.27
1993-02,63.713,,156.7,169.5,119.9,27.52,1.16,0.03,0.06
1993-03,102.225,,199.2,384.1,191.4,27.67,2.06,2.43,1.32
1993-04,93.823,,149.2,375.9,134.5,28.28,1.00,2.34,0.31
1993-05,51.86,,86.5,216.6,91.3,28.38,-0.32,0.56,-0.45
1993-06,135.743,,83.2,290.9,132.2,27.85,-0.39,1.39,0.27
1993-07,104.693,,99.5,217.6,204.8,27.26,-0.05,0.57,1.55
1993-08,86,,54.0,217.6,93.5,26.97,-1.01,0.57,-0.41
1993-09,74.195,,66.3,182.2,58.2,26.99,-0.75,0.18,-1.03
1993-10,78.334,,73.9,218.2,93.7,27.15,-0.59,0.58,-0.40
1993-11,58.029,,74.1,84.5,74.9,27.35,-0.58,-0.91,-0.74
1993-12,98.451,,122.5,27.1,98.5,26.98,0.44,-1.56,-0.32
1994-01,70.139,,98.2,88.8,46.6,26.85,-0.08,-0.87,-1.23
1994-02,90.094,,112.6,120.6,106.3,26.89,0.23,-0.51,-0.18
1994-03,116.098,,175.5,166.1,139.1,27.34,1.56,0.00,0.39
1994-04,117.281,,164.9,263.7,163.5,27.25,1.33,1.09,0.82
1994-05,157.58,,120.1,372.8,229.9,27.20,0.39,2.31,1.99
1994-06,142.507,,122.1,361.2,181.6,26.38,0.43,2.18,1.14
1994-07,85.731,,120.6,346.5,245.2,25.74,0.40,2.01,2.26
1994-08,91.964,,143.2,,117.2,25.21,0.87,0.00,0.01
1994-09,61.489,,96.5,299.8,85.4,25.38,-0.11,1.49,-0.55
1994-10,49.921,,38.2,199.4,138.8,25.41,-1.34,0.37,0.39
1994-11,68.895,,110.0,224.9,64.2,25.65,0.17,0.65,-0.92
1994-12,95.609,,96.2,220.3,,25.65,-0.12,0.60,0.00
1995-01,65.616,,48.7,169.8,36.4,25.68,-1.12,0.04,-1.41
1995-02,48.492,,78.7,221.2,41.7,25.99,-0.49,0.61,-1.32
1995-03,57.326,,112.9,174.0,42.9,26.25,0.23,0.09,-1.30
1995-04,45.009,,113.7,172.1,141.7,26.63,0.25,0.06,0.44
1995-05,86.041,,,401.6,152.5,26.73,0.00,2.63,0.63
1995-06,66.597,,,290.8,126.4,26.33,0.00,1.39,0.17
1995-07,80.377,,,246.7,142.6,25.94,0.00,0.90,0.46
1995-08,36.267,,21.9,91.6,44.4,25.73,-1.69,-0.84,-1.27
1995-09,37.92,,59.5,140.8,67.5,25.72,-0.89,-0.29,-0.87
1995-10,30.959,,138.3,116.3,40.7,25.98,0.77,-0.56,-1.34
1995-11,44.636,,155.1,177.9,92.5,26.25,1.12,0.13,-0.43
1995-12,38.749,,179.7,150.8,113.9,26.35,1.64,-0.17,-0.05
1996-01,35,,120.4,118.1,103.1,26.50,0.39,-0.54,-0.24
1996-02,59.599,,141.2,135.2,183.9,26.56,0.83,-0.35,1.18
1996-03,53.794,,190.5,74.6,95.5,27.11,1.87,-1.03,-0.37
1996-04,58.871,,250.8,81.1,125.6,27.79,3.14,-0.95,0.16
1996-05,66.929,,168.1,91.9,87.5,28.33,1.40,-0.83,-0.51
1996-06,64.935,,73.6,46.2,48.2,27.67,-0.59,-1.34,-1.21
1996-07,98.765,,162.0,,203.8,27.16,1.27,,1.53
1996-08,73.855,,68.4,,117.2,27.16,-0.70,,0.01
1996-09,58.916,,92.7,,101.5,27.00,-0.19,,-0.27
1996-10,51.87,,181.2,,109.2,27.20,1.68,,-0.13
1996-11,44.246,,37.8,,46.9,27.46,-1.35,,-1.23
1996-12,47.886,,63.5,,63.8,27.69,-0.81,,-0.93
1997-01,30.401,,118.1,64.2,72.8,27.72,0.34,-1.14,-0.77
1997-02,101.548,,117.0,141.7,112.5,27.95,0.32,-0.28,-0.07
1997-03,116.139,,165.8,108.7,156.5,28.15,1.35,-0.64,0.70
1997-04,110.179,,203.6,156.8,115.8,28.45,2.15,-0.11,-0.02
1997-05,150.667,,104.6,145.1,140,28.62,0.06,-0.24,0.41
1997-06,63.948,,52.6,148.6,61.6,28.58,-1.04,-0.20,-0.97
1997-07,122.466,,116.4,146.7,165.4,27.32,0.31,-0.22,0.86
1997-08,102.026,,68.6,137.3,169.7,27.00,-0.70,-0.32,0.93
1997-09,64.571,,50.2,163.8,71.7,26.80,-1.09,-0.03,-0.79
1997-10,38.567,,82.7,191.2,61.1,26.81,-0.40,0.28,-0.98
1997-11,60.263,,287.3,,65.1,26.91,3.91,,-0.91
1997-12,79.395,,101.8,,,27.47,0.00,,0.00
1998-01,68.032,,50.8,270.8,94.4,27.30,-1.08,1.17,-0.39
1998-02,49.887,,191.4,195.1,74.1,27.53,1.89,0.32,-0.75
1998-03,59.74,,190.0,270.8,96.9,27.79,1.86,1.17,-0.35
1998-04,88.818,,129.1,405.5,169.9,28.14,0.58,2.67,0.94
