FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-01-80,54.52,15.78,119.30,245.50,105.94,27.16,0.37,0.88,-0.30
01-02-80,54.67,30.41,120.20,31.40,92.91,27.57,0.39,-1.51,-0.51
01-03-80,120.46,37.04,128.80,161.20,118.66,27.85,0.57,-0.06,-0.06
01-04-80,110.47,85.36,156.60,224.30,138.17,28.18,1.16,0.65,0.25
01-05-80,92.28,46.10,75.30,82.80,103.27,28.17,-0.56,-0.93,-0.28
01-06-80,153.65,63.71,91.00,178.70,123.51,27.86,-0.23,0.14,0.04
01-07-80,141.59,80.77,116.00,154.00,128.45,27.37,0.30,-0.14,0.12
01-08-80,65.98,39.99,69.00,168.30,97.58,26.92,-0.69,0.02,-0.42
01-09-80,74.51,38.70,46.40,189.50,88.05,26.87,-1.17,0.26,-0.59
01-10-80,78.25,68.73,157.90,345.70,127.23,26.86,1.18,2.00,0.04
01-11-80,57.88,46.31,172.90,103.80,118.84,27.26,1.50,-0.70,-0.10
01-12-80,56.10,39.16,111.30,19.90,99.12,27.16,0.20,-1.64,-0.42
01-01-81,41.52,27.34,54.80,29.90,77.85,27.15,-0.99,-1.52,-0.76
01-02-81,82.59,52.75,168.00,141.20,128.54,27.28,1.40,-0.28,0.07
01-03-81,79.13,61.74,250.10,97.40,143.81,27.65,3.13,-0.77,0.31
01-04-81,91.65,57.94,145.40,130.00,133.96,27.85,0.92,-0.41,0.21
01-05-81,54.31,51.65,114.50,140.10,123.01,27.98,0.27,-0.29,0.03
01-06-81,106.14,48.13,88.30,100.80,121.69,27.42,-0.28,-0.73,0.02
01-07-81,90.24,44.20,89.50,99.30,117.01,26.82,-0.26,-0.75,-0.07
01-08-81,53.67,33.33,64.30,121.80,98.97,26.30,-0.79,-0.50,-0.40
01-09-81,39.96,33.00,64.10,158.60,96.75,26.30,-0.80,-0.09,-0.46
01-10-81,40.81,32.43,73.80,83.30,89.12,26.32,-0.59,-0.93,-0.57
01-11-81,30.06,30.14,33.00,157.70,73.59,26.33,-1.45,-0.10,-0.93
01-12-81,54.81,54.71,144.70,142.02,121.55,26.49,0.91,-0.19,-0.06
01-01-82,37.35,43.51,102.40,89.90,131.20,26.57,0.01,-0.85,0.26
01-02-82,35.32,28.10,60.80,63.00,76.10,26.85,-0.86,-1.15,-0.71
01-03-82,50.70,43.97,89.10,225.20,80.70,27.43,-0.27,0.66,-0.63
01-04-82,70.06,60.27,144.10,299.90,81.40,27.82,0.89,1.49,-0.62
01-05-82,89.29,60.81,178.10,178.00,126.80,27.99,1.61,0.13,0.18
01-06-82,83.16,38.00,53.90,271.50,114.72,27.49,-1.01,1.17,-0.13
01-07-82,103.97,51.09,111.40,211.70,131.92,26.79,0.20,0.51,0.15
01-08-82,91.15,37.99,79.10,97.60,108.27,26.33,-0.48,-0.77,-0.23
01-09-82,58.91,42.98,118.80,206.40,119.74,26.22,0.36,0.45,-0.07
01-10-82,49.69,45.24,171.60,108.00,117.68,26.24,1.47,-0.65,-0.12
01-11-82,56.59,33.81,85.80,190.30,100.95,26.33,-0.34,0.27,-0.39
01-12-82,63.06,54.72,186.00,137.53,122.68,26.37,1.78,-0.21,-0.04
01-01-83,106.73,64.75,146.90,174.70,117.50,26.45,0.95,0.09,0.01
01-02-83,103.96,64.13,104.90,45.90,193.20,26.59,0.07,-1.35,1.35
01-03-83,93.80,68.54,166.60,241.80,139.10,27.00,1.37,0.84,0.39
01-04-83,67.70,96.25,149.70,222.90,145.30,27.29,1.01,0.63,0.50
01-05-83,99.32,83.37,187.80,271.40,120.80,27.42,1.81,1.17,0.07
01-06-83,78.23,37.67,59.30,131.00,54.00,27.15,-0.90,-0.40,-1.10
01-07-83,74.53,29.40,50.50,110.40,147.20,26.68,-1.08,-0.63,0.54
01-08-83,60.92,38.49,71.10,144.90,111.40,26.45,-0.65,-0.24,-0.09
01-09-83,77.40,36.00,56.90,205.40,109.00,26.40,-0.95,0.44,-0.14
01-10-83,80.16,57.62,140.50,237.80,159.90,26.57,0.82,0.80,0.76
01-11-83,49.09,57.62,77.00,145.20,33.00,26.77,-0.52,-0.24,-1.47
01-12-83,54.66,57.62,156.60,81.50,153.10,26.85,1.16,-0.95,0.64
01-01-84,36.19,31.30,50.20,96.00,134.80,26.92,-1.09,-0.79,0.32
01-02-84,71.31,55.66,179.20,194.00,222.20,27.17,1.63,0.31,1.86
01-03-84,70.26,49.93,142.20,145.80,147.80,27.50,0.85,-0.23,0.55
01-04-84,59.25,93.45,162.60,244.50,253.60,27.89,1.28,0.87,2.41
01-05-84,59.25,58.23,102.70,63.10,253.40,27.99,0.02,-1.15,2.41
01-06-84,59.25,99.05,93.00,181.00,322.60,27.69,-0.19,0.16,3.62
01-07-84,59.25,61.34,77.80,96.40,266.50,27.14,-0.51,-0.78,2.64
01-08-84,59.25,56.34,70.30,240.50,136.30,26.83,-0.66,0.83,0.35
01-09-84,59.25,51.70,119.90,122.10,169.00,26.69,0.38,-0.49,0.92
01-10-84,59.25,45.61,116.80,129.30,101.00,26.78,0.32,-0.41,-0.28
01-11-84,59.25,29.96,82.90,75.50,86.80,26.81,-0.40,-1.02,-0.53
