planificacion,organizacion,direccion,control,control_ingresos,control_operativo,control_inventario,rotacion_inventario,registro_inventario,stock_inventario
4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
5.00,4.67,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.50
4.33,4.33,4.75,4.50,5.00,4.50,5.00,4.00,4.00,4.50
4.00,4.00,4.25,4.00,4.00,4.00,5.00,4.00,4.00,4.00
5.00,5.00,4.75,5.00,5.00,4.50,4.50,4.50,4.50,4.50
5.00,5.00,5.00,5.00,4.50,5.00,5.00,3.50,3.50,4.50
3.00,3.67,3.25,3.00,4.00,4.00,4.00,3.00,3.00,3.00
4.00,4.00,4.00,4.00,4.00,4.50,5.00,4.00,4.00,4.00
4.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
4.00,4.00,3.50,4.00,4.00,4.00,4.00,3.50,3.50,3.50
4.67,4.67,5.00,4.50,4.00,4.50,5.00,4.50,4.50,4.00
3.00,3.33,4.75,3.50,3.50,4.00,3.00,3.50,3.50,3.00
5.00,4.00,1.75,4.00,3.00,4.00,4.00,3.00,3.00,3.00
5.00,4.00,5.00,5.00,5.00,5.00,5.00,3.50,3.50,1.50
4.67,4.00,4.50,4.00,3.50,3.00,4.00,3.50,3.50,3.00
5.00,4.67,4.75,4.50,5.00,4.50,5.00,5.00,5.00,4.50
4.00,3.33,4.00,4.00,4.00,3.50,4.00,3.00,3.00,3.00
5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00,5.00,4.50,5.00,5.00,5.00,4.50
3.33,4.00,3.75,4.00,4.00,4.00,4.00,4.00,4.00,4.00
4.00,3.67,3.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
5.00,4.67,4.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00
5.00,4.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
5.00,5.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,4.50
4.67,4.67,4.75,4.50,5.00,4.50,4.00,5.00,5.00,5.00
4.67,4.67,4.75,5.00,4.50,5.00,5.00,4.00,4.00,4.00
5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
4.00,4.00,3.75,5.00,5.00,5.00,5.00,4.00,4.00,4.00
5.00,4.67,4.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00
4.33,4.33,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.50,4.50,4.50
4.67,4.67,4.75,4.50,5.00,5.00,5.00,5.00,5.00,5.00
4.67,3.67,4.25,4.00,3.50,4.00,4.50,4.00,4.00,4.00
4.67,4.33,5.00,4.00,4.50,5.00,4.50,4.00,4.00,4.00
4.67,4.67,4.25,5.00,5.00,5.00,5.00,4.50,4.50,4.00
4.33,4.00,3.50,4.50,4.50,4.50,5.00,3.50,3.50,2.50
4.67,4.33,4.50,3.00,4.50,5.00,4.00,5.00,5.00,5.00
3.33,2.00,3.50,2.00,4.00,4.00,4.00,3.50,3.50,4.00
4.67,5.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,4.50
