area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;002301;013;01;1;1;2;1;1;2;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;1;2; ;2; ;2; ;2; ;1;75;2; ;2; ;1;1;1;1;1;1;1;4;1;4;2; ;1;2711;62,7207892452489;010150002301;01015000230101301;010150002301013011;202207
1;10150;002301;013;02;1;1;2;1;1;2;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;3;400; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2; ;2; ;1;1;1;2;1;2;2; ;2;2711;62,7207892452489;010150002301;01015000230101302;010150002301013021;202207
1;10150;002301;013;03;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;1;1;2; ;2; ;1;40;1;30;2; ;2; ;1;3;2; ;1;1;1;2;1;2;2; ;1;2711;62,7207892452489;010150002301;01015000230101303;010150002301013031;202207
1;10150;002301;013;04;1;1;2;1;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;2;2; ;2; ;2; ;2; ;1;100;2; ;2; ;1;1;1;1;1;1;1;3;1;3;1;4;1;2711;62,7207892452489;010150002301;01015000230101304;010150002301013041;202207
1;10150;002301;013;05;1;1;2;1;1;2;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;280; ; ; ;1;1;2; ;1;70;2; ;2; ;2; ;2; ;2; ;1;2;2; ;1;1;1;1;1;1;1;1;1;2711;62,7207892452489;010150002301;01015000230101305;010150002301013051;202207
1;10150;002301;013;06;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;400;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;1;2; ;2; ;1;2711;62,7207892452489;010150002301;01015000230101306;010150002301013061;202207
1;10150;002301;013;07;1;1;1;4;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;1;1;2; ;1;1;1;2;1;2;1;1;1;2711;62,7207892452489;010150002301;01015000230101307;010150002301013071;202207
1;10150;003806;030;01;1;1;1;3;2;1;2;1;2;3;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;3;1;3;2; ;1;2711;60,876970755554;010150003806;01015000380603001;010150003806030011;202207
1;10150;003806;030;02;1;1;1;2;3;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;1;1;2; ;1;1;1;3;1;3;1;1;1;2711;60,876970755554;010150003806;01015000380603002;010150003806030021;202207
1;10150;003806;030;03;1;1;1;4;2;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;1;3;1;1;2; ;1;3;1;3;2; ;1;2711;60,876970755554;010150003806;01015000380603003;010150003806030031;202207
