Date,Energie cumule (kWh),Energie par periode (kWh),Puissance moyenne (kW)
2022-12-08 16:20:00,306543,,
2022-12-08 16:40:00,306555,12,36
2022-12-08 17:20:00,306571,16,24
2022-12-08 18:00:00,306581,10,15
2022-12-08 18:40:00,306590,9,13.5
2022-12-08 19:20:00,306598,8,12
2022-12-08 20:00:00,306603,5,7.5
2022-12-08 20:40:00,306608,5,7.5
2022-12-08 21:20:00,306611,3,4.5
2022-12-08 22:00:00,306615,4,6
2022-12-08 22:40:00,306619,4,6
2022-12-08 23:20:00,306622,3,4.5
2022-12-09 00:00:00,306624,2,3
2022-12-09 00:40:00,306631,7,10.5
2022-12-09 01:20:00,306637,6,9
2022-12-09 02:00:00,306640,3,4.5
2022-12-09 02:40:00,306644,4,6
2022-12-09 03:20:00,306647,3,4.5
2022-12-09 04:00:00,306649,2,3
2022-12-09 04:40:00,306652,3,4.5
2022-12-09 05:20:00,306655,3,4.5
2022-12-09 06:00:00,306657,2,3
2022-12-09 06:40:00,306661,4,6
2022-12-09 07:20:00,306665,4,6
2022-12-09 08:00:00,306670,5,7.5
2022-12-09 08:40:00,306681,11,16.5
2022-12-09 09:20:00,306694,13,19.5
2022-12-09 10:10:00,306711,17,20.4
2022-12-09 10:50:00,306730,19,28.5
2022-12-09 11:30:00,306748,18,27
2022-12-09 12:10:00,306771,23,34.5
2022-12-09 12:50:00,306789,18,27
2022-12-09 13:30:00,306800,11,16.5
2022-12-09 14:10:00,306817,17,25.5
2022-12-09 14:50:00,306835,18,27
2022-12-09 15:30:00,306847,12,18
2022-12-09 16:10:00,306865,18,27
2022-12-09 16:50:00,306881,16,24
2022-12-09 17:30:00,306891,10,15
2022-12-09 18:10:00,306904,13,19.5
2022-12-09 18:50:00,306909,5,7.5
2022-12-09 19:30:00,306914,5,7.5
2022-12-09 20:10:00,306919,5,7.5
2022-12-09 20:50:00,306922,3,4.5
2022-12-09 21:30:00,306925,3,4.5
2022-12-09 22:10:00,306928,3,4.5
2022-12-09 22:50:00,306932,4,6
2022-12-09 23:30:00,306934,2,3
2022-12-10 00:10:00,306937,3,4.5
2022-12-10 00:50:00,306942,5,7.5
2022-12-10 01:30:00,306945,3,4.5
2022-12-10 02:10:00,306949,4,6
2022-12-10 02:50:00,306955,6,9
2022-12-10 03:30:00,306959,4,6
2022-12-10 04:10:00,306961,2,3
2022-12-10 04:50:00,306964,3,4.5
2022-12-10 05:30:00,306966,2,3
2022-12-10 06:10:00,306972,6,9
2022-12-10 06:50:00,306977,5,7.5
2022-12-10 07:30:00,306980,3,4.5
2022-12-10 08:10:00,306986,6,9
2022-12-10 08:50:00,306995,9,13.5
2022-12-10 09:30:00,307001,6,9
2022-12-10 10:10:00,307011,10,15
2022-12-10 10:50:00,307021,10,15
2022-12-10 11:30:00,307027,6,9
2022-12-10 12:10:00,307037,10,15
2022-12-10 12:50:00,307047,10,15
2022-12-10 13:30:00,307053,6,9
2022-12-10 14:10:00,307063,10,15
2022-12-10 14:50:00,307072,9,13.5
2022-12-10 15:30:00,307079,7,10.5
2022-12-10 16:10:00,307088,9,13.5
2022-12-10 16:50:00,307098,10,15
2022-12-10 17:30:00,307105,7,10.5
2022-12-10 18:10:00,307114,9,13.5
2022-12-10 18:50:00,307122,8,12
