Local_Time,SRGLOAVG1H,SRGLOMAX1H,SRGLOMIN1H,TAAVG1H,TAMAX1H,TAMIN1H,RHAVG1H,RHMAX1H,RHMIN1H,PRSUM1H,PAAVG1H,PAMAX1H,PAMIN1H,WS1HA,WS1HX,WS1HM,WD1HA
2015-01-01 01:00:00,0.0,0.0,0.0,8.8,9.7,8.1,98.0,99.0,94.0,0.0,743.2,743.6,742.8,1.0,2.9,0.0,65
2015-01-01 02:00:00,0.0,0.0,0.0,9.6,9.8,9.1,96.0,97.0,94.0,0.0,742.6,742.8,742.4,1.8,3.0,0.0,43
2015-01-01 03:00:00,0.0,0.0,0.0,9.9,10.1,9.7,94.0,95.0,93.0,0.0,742.1,742.4,741.9,1.9,2.9,0.5,47
2015-01-01 04:00:00,0.0,0.0,0.0,10.0,10.3,9.7,95.0,96.0,93.0,0.0,741.8,741.9,741.7,1.5,2.7,0.4,44
2015-01-01 05:00:00,0.0,0.0,0.0,9.4,10.0,9.0,96.0,98.0,94.0,0.0,741.8,741.9,741.7,1.4,2.6,0.4,50
2015-01-01 06:00:00,0.0,0.0,0.0,9.3,10.2,8.7,96.0,98.0,93.0,0.0,742.2,742.6,741.9,1.9,3.6,0.5,55
2015-01-01 07:00:00,15.0,39.0,0.0,9.9,10.7,9.1,95.0,97.0,91.0,0.0,742.8,743.1,742.6,2.4,3.9,0.9,54
2015-01-01 08:00:00,107.0,162.0,40.0,10.6,12.2,9.5,94.0,96.0,89.0,0.0,743.5,743.7,743.1,2.5,4.6,0.4,42
2015-01-01 09:00:00,394.0,781.0,136.0,13.5,15.1,12.2,84.0,89.0,76.0,0.0,743.8,743.9,743.7,3.3,5.8,0.0,59
2015-01-01 10:00:00,728.0,1197.0,373.0,16.3,18.1,15.1,68.0,79.0,57.0,0.0,743.7,743.9,743.4,4.4,8.4,0.0,40
2015-01-01 11:00:00,428.0,667.0,303.0,17.2,18.4,16.7,62.0,66.0,58.0,0.0,743.2,743.4,742.8,4.0,8.1,0.0,35
2015-01-01 12:00:00,403.0,879.0,172.0,17.7,18.5,17.2,60.0,65.0,55.0,0.0,742.6,742.9,742.3,3.5,7.6,0.0,34
2015-01-01 13:00:00,709.0,1449.0,199.0,19.0,20.1,18.2,54.0,61.0,47.0,0.0,741.8,742.3,741.4,2.8,8.1,0.0,50
2015-01-01 14:00:00,397.0,867.0,176.0,18.9,19.7,18.4,53.0,57.0,49.0,0.0,741.0,741.4,740.6,3.2,8.1,0.0,59
2015-01-01 15:00:00,594.0,1257.0,226.0,19.6,20.7,18.5,53.0,58.0,48.0,0.0,740.1,740.7,739.8,2.2,7.6,0.0,62
2015-01-01 16:00:00,308.0,721.0,139.0,18.5,20.6,15.5,65.0,87.0,50.0,0.0,739.6,739.8,739.5,0.9,8.5,0.0,287
2015-01-01 17:00:00,136.0,218.0,55.0,14.6,15.5,14.0,91.0,95.0,86.0,0.0,739.9,740.1,739.7,4.9,9.0,0.4,236
2015-01-01 18:00:00,35.0,52.0,17.0,13.5,14.0,13.2,98.0,99.0,95.0,0.0,740.3,740.6,740.0,4.0,8.1,0.4,238
2015-01-01 19:00:00,3.0,17.0,0.0,13.2,13.3,12.9,100.0,100.0,99.0,0.0,741.0,741.3,740.6,2.2,6.3,0.0,239
2015-01-01 20:00:00,0.0,0.0,0.0,12.6,12.9,12.2,100.0,100.0,100.0,0.0,741.7,742.1,741.3,0.1,2.4,0.0,3
2015-01-01 21:00:00,0.0,0.0,0.0,12.6,12.8,12.2,100.0,100.0,99.0,0.0,742.6,742.8,742.1,1.7,3.2,0.5,49
2015-01-01 22:00:00,0.0,0.0,0.0,11.4,12.3,10.2,99.0,100.0,99.0,0.0,743.2,743.4,742.8,2.0,4.7,0.0,49
2015-01-01 23:00:00,0.0,0.0,0.0,9.7,10.3,9.2,99.0,100.0,99.0,0.0,743.3,743.4,743.2,1.2,2.5,0.0,51
2015-01-02 00:00:00,0.0,0.0,0.0,10.3,10.6,9.8,96.0,99.0,93.0,0.0,743.1,743.3,742.9,1.4,2.6,0.4,60
2015-01-02 01:00:00,0.0,0.0,0.0,10.7,11.0,10.4,93.0,97.0,90.0,0.0,742.7,742.9,742.5,1.9,3.8,0.3,58
2015-01-02 02:00:00,0.0,0.0,0.0,10.9,11.2,10.7,92.0,93.0,89.0,0.0,742.2,742.5,741.9,3.3,5.0,1.7,45
2015-01-02 03:00:00,0.0,0.0,0.0,10.0,11.2,9.5,94.0,96.0,89.0,0.0,741.8,741.9,741.6,2.7,4.5,1.3,38
2015-01-02 04:00:00,0.0,0.0,0.0,10.7,11.7,9.9,92.0,94.0,88.0,0.0,741.5,741.7,741.4,3.4,5.4,1.2,40
2015-01-02 05:00:00,0.0,0.0,0.0,11.1,11.7,10.8,90.0,91.0,87.0,0.0,741.7,741.8,741.5,3.1,5.9,1.3,39
2015-01-02 06:00:00,0.0,0.0,0.0,10.2,10.8,9.9,92.0,93.0,90.0,0.0,742.0,742.3,741.8,2.9,4.7,0.4,34
2015-01-02 07:00:00,19.0,57.0,0.0,10.2,11.0,9.8,91.0,92.0,90.0,0.0,742.6,743.0,742.4,3.3,5.0,2.1,42
2015-01-02 08:00:00,97.0,135.0,59.0,12.3,13.1,11.0,85.0,90.0,80.0,0.0,743.4,743.6,743.0,2.8,5.1,1.1,53
2015-01-02 09:00:00,118.0,162.0,93.0,13.4,13.8,13.1,77.0,82.0,71.0,0.0,743.7,743.8,743.6,2.6,7.8,0.0,33
2015-01-02 10:00:00,227.0,371.0,154.0,14.5,15.2,13.8,69.0,73.0,64.0,0.0,743.6,743.6,743.4,3.6,9.7,0.0,25
2015-01-02 11:00:00,408.0,1128.0,242.0,15.8,16.6,15.0,61.0,66.0,53.0,0.0,743.4,743.5,743.1,5.3,12.4,0.0,35
2015-01-02 12:00:00,674.0,1496.0,380.0,17.0,18.1,16.4,54.0,57.0,50.0,0.0,743.0,743.2,742.7,5.4,10.9,0.4,63
2015-01-02 13:00:00,459.0,947.0,286.0,16.9,17.7,16.2,58.0,61.0,53.0,0.0,742.4,742.8,742.1,6.1,12.2,0.0,36
2015-01-02 14:00:00,377.0,590.0,242.0,16.6,16.9,16.2,60.0,63.0,57.0,0.0,741.7,742.1,741.4,6.4,11.9,0.4,34
2015-01-02 15:00:00,302.0,414.0,158.0,16.2,16.8,15.7,62.0,64.0,59.0,0.0,741.2,741.4,740.8,5.9,11.2,0.0,34
2015-01-02 16:00:00,310.0,899.0,165.0,16.5,17.2,15.9,62.0,64.0,58.0,0.0,740.6,740.9,740.3,6.3,11.6,0.7,39
2015-01-02 17:00:00,298.0,670.0,124.0,17.0,17.9,16.4,59.0,62.0,55.0,0.0,740.3,740.4,740.2,5.3,10.2,0.3,39
2015-01-02 18:00:00,63.0,338.0,16.0,16.1,16.9,15.6,63.0,65.0,59.0,0.0,740.5,740.8,740.1,5.4,9.2,1.2,39
2015-01-02 19:00:00,3.0,15.0,0.0,15.1,15.7,14.6,67.0,70.0,64.0,0.0,741.0,741.3,740.8,3.6,8.2,0.0,38
2015-01-02 20:00:00,0.0,0.0,0.0,14.2,15.0,13.9,73.0,75.0,67.0,0.0,741.6,741.9,741.3,2.7,4.9,0.0,42
2015-01-02 21:00:00,0.0,0.0,0.0,13.6,14.1,13.2,76.0,79.0,73.0,0.0,742.1,742.4,741.8,3.1,5.6,0.4,48
2015-01-02 22:00:00,0.0,0.0,0.0,13.8,14.0,13.6,76.0,77.0,74.0,0.0,742.5,742.6,742.4,3.4,6.3,0.4,51
2015-01-02 23:00:00,0.0,0.0,0.0,13.4,13.8,13.2,78.0,79.0,75.0,0.0,742.6,742.7,742.5,3.9,7.0,0.5,42
2015-01-03 00:00:00,0.0,0.0,0.0,12.9,13.4,12.4,80.0,82.0,78.0,0.0,742.3,742.5,742.2,4.2,6.7,1.0,41
2015-01-03 01:00:00,0.0,0.0,0.0,12.3,12.8,11.7,81.0,82.0,80.0,0.0,742.1,742.2,741.9,3.9,5.9,1.8,47
2015-01-03 02:00:00,0.0,0.0,0.0,11.9,12.2,11.6,80.0,82.0,78.0,0.0,741.6,741.9,741.4,4.0,6.6,1.3,50
2015-01-03 03:00:00,0.0,0.0,0.0,11.8,12.2,11.4,80.0,82.0,78.0,0.0,741.2,741.4,741.1,3.5,5.5,0.7,50
2015-01-03 04:00:00,0.0,0.0,0.0,11.7,12.0,11.3,81.0,83.0,79.0,0.0,741.0,741.1,740.9,3.6,5.6,1.4,50
2015-01-03 05:00:00,0.0,0.0,0.0,11.5,11.7,11.2,83.0,85.0,82.0,0.0,741.1,741.3,740.9,4.0,6.9,0.8,45
2015-01-03 06:00:00,0.0,0.0,0.0,11.4,11.8,11.1,83.0,85.0,81.0,0.0,741.5,741.9,741.3,3.8,6.4,0.7,46
2015-01-03 07:00:00,19.0,63.0,0.0,11.7,12.0,11.4,82.0,83.0,80.0,0.0,742.3,742.8,741.9,3.8,7.3,1.0,48
2015-01-03 08:00:00,228.0,505.0,60.0,12.7,13.6,11.8,79.0,85.0,74.0,0.0,742.9,743.3,742.7,5.5,9.9,1.4,40
2015-01-03 09:00:00,264.0,662.0,81.0,13.6,14.7,12.7,73.0,77.0,67.0,0.0,743.0,743.2,742.9,6.1,11.7,0.5,41
2015-01-03 10:00:00,304.0,937.0,185.0,14.9,15.8,14.3,67.0,71.0,64.0,0.0,743.2,743.3,743.1,5.3,11.5,0.0,31
