group,precision,recall,f1-score,support,model,data,scale,algorithm
Class 0,1,1,1,5,RFC,C01,25,CMMS
Class 1,1,1,1,5,RFC,C01,25,CMMS
Class 2,1,0.4,0.57,5,RFC,C01,25,CMMS
Class 3,0.44,0.8,0.57,5,RFC,C01,25,CMMS
Class 4,0.33,0.6,0.43,5,RFC,C01,25,CMMS
Class 5,0.25,0.2,0.22,5,RFC,C01,25,CMMS
Class 6,0,0,0,5,RFC,C01,25,CMMS
accuracy,,,0.57,35,RFC,C01,25,CMMS
macro avg,0.58,0.57,0.54,35,RFC,C01,25,CMMS
weighted avg,0.58,0.57,0.54,35,RFC,C01,25,CMMS
Class 0,1,0.6,0.75,5,MLP,C01,25,CMMS
Class 1,1,1,1,5,MLP,C01,25,CMMS
Class 2,0.5,0.6,0.55,5,MLP,C01,25,CMMS
Class 3,0.57,0.8,0.67,5,MLP,C01,25,CMMS
Class 4,0.44,0.8,0.57,5,MLP,C01,25,CMMS
Class 5,0.6,0.6,0.6,5,MLP,C01,25,CMMS
Class 6,0,0,0,5,MLP,C01,25,CMMS
accuracy,,,0.63,35,MLP,C01,25,CMMS
macro avg,0.59,0.63,0.59,35,MLP,C01,25,CMMS
weighted avg,0.59,0.63,0.59,35,MLP,C01,25,CMMS
Class 0,1,1,1,5,XGBC,C01,25,CMMS
Class 1,1,1,1,5,XGBC,C01,25,CMMS
Class 2,1,0.6,0.75,5,XGBC,C01,25,CMMS
Class 3,0.38,0.6,0.46,5,XGBC,C01,25,CMMS
Class 4,0.29,0.4,0.33,5,XGBC,C01,25,CMMS
Class 5,0.4,0.4,0.4,5,XGBC,C01,25,CMMS
Class 6,0.5,0.2,0.29,5,XGBC,C01,25,CMMS
accuracy,,,0.6,35,XGBC,C01,25,CMMS
macro avg,0.65,0.6,0.6,35,XGBC,C01,25,CMMS
weighted avg,0.65,0.6,0.6,35,XGBC,C01,25,CMMS
Class 0,0.83,1,0.91,5,RFC,C01,20,CMMS
Class 1,1,0.8,0.89,5,RFC,C01,20,CMMS
Class 2,0.75,0.6,0.67,5,RFC,C01,20,CMMS
Class 3,0.5,0.6,0.55,5,RFC,C01,20,CMMS
Class 4,0.33,0.6,0.43,5,RFC,C01,20,CMMS
Class 5,0.6,0.6,0.6,5,RFC,C01,20,CMMS
Class 6,0,0,0,5,RFC,C01,20,CMMS
accuracy,,,0.6,35,RFC,C01,20,CMMS
macro avg,0.57,0.6,0.58,35,RFC,C01,20,CMMS
weighted avg,0.57,0.6,0.58,35,RFC,C01,20,CMMS
Class 0,1,0.6,0.75,5,MLP,C01,20,CMMS
Class 1,1,1,1,5,MLP,C01,20,CMMS
Class 2,0.5,0.6,0.55,5,MLP,C01,20,CMMS
Class 3,0.5,0.8,0.62,5,MLP,C01,20,CMMS
Class 4,0.5,0.8,0.62,5,MLP,C01,20,CMMS
Class 5,0.6,0.6,0.6,5,MLP,C01,20,CMMS
Class 6,0,0,0,5,MLP,C01,20,CMMS
accuracy,,,0.63,35,MLP,C01,20,CMMS
macro avg,0.59,0.63,0.59,35,MLP,C01,20,CMMS
weighted avg,0.59,0.63,0.59,35,MLP,C01,20,CMMS
Class 0,1,1,1,5,XGBC,C01,20,CMMS
Class 1,1,1,1,5,XGBC,C01,20,CMMS
Class 2,0.8,0.8,0.8,5,XGBC,C01,20,CMMS
Class 3,0.44,0.8,0.57,5,XGBC,C01,20,CMMS
Class 4,0.4,0.4,0.4,5,XGBC,C01,20,CMMS
Class 5,0.25,0.2,0.22,5,XGBC,C01,20,CMMS
Class 6,0.5,0.2,0.29,5,XGBC,C01,20,CMMS
accuracy,,,0.63,35,XGBC,C01,20,CMMS
macro avg,0.63,0.63,0.61,35,XGBC,C01,20,CMMS
weighted avg,0.63,0.63,0.61,35,XGBC,C01,20,CMMS
Class 0,0.83,1,0.91,5,RFC,C01,15,CMMS
Class 1,1,0.8,0.89,5,RFC,C01,15,CMMS
Class 2,0.8,0.8,0.8,5,RFC,C01,15,CMMS
Class 3,0.5,0.6,0.55,5,RFC,C01,15,CMMS
Class 4,0.38,0.6,0.46,5,RFC,C01,15,CMMS
Class 5,0.5,0.6,0.55,5,RFC,C01,15,CMMS
Class 6,0,0,0,5,RFC,C01,15,CMMS
accuracy,,,0.63,35,RFC,C01,15,CMMS
macro avg,0.57,0.63,0.59,35,RFC,C01,15,CMMS
weighted avg,0.57,0.63,0.59,35,RFC,C01,15,CMMS
Class 0,1,0.6,0.75,5,MLP,C01,15,CMMS
Class 1,1,1,1,5,MLP,C01,15,CMMS
Class 2,0.5,0.6,0.55,5,MLP,C01,15,CMMS
Class 3,0.57,0.8,0.67,5,MLP,C01,15,CMMS
Class 4,0.44,0.8,0.57,5,MLP,C01,15,CMMS
Class 5,0.6,0.6,0.6,5,MLP,C01,15,CMMS
Class 6,0,0,0,5,MLP,C01,15,CMMS
accuracy,,,0.63,35,MLP,C01,15,CMMS
macro avg,0.59,0.63,0.59,35,MLP,C01,15,CMMS
weighted avg,0.59,0.63,0.59,35,MLP,C01,15,CMMS
Class 0,1,1,1,5,XGBC,C01,15,CMMS
Class 1,1,1,1,5,XGBC,C01,15,CMMS
