base,P Atteinte:HPE,PS:HPE,PS:HCE,P Atteinte:HCE
00:00 03/10/2024,1.96,36,,
00:30 03/10/2024,,,36,1.66
01:00 03/10/2024,,,36,1.65
01:30 03/10/2024,,,36,1.67
02:00 03/10/2024,,,36,1.65
02:30 03/10/2024,,,36,1.69
03:00 03/10/2024,,,36,1.64
03:30 03/10/2024,,,36,1.68
04:00 03/10/2024,,,36,1.66
04:30 03/10/2024,,,36,1.69
05:00 03/10/2024,,,36,1.64
05:30 03/10/2024,,,36,1.66
06:00 03/10/2024,,,36,1.65
06:30 03/10/2024,1.66,36,,
07:00 03/10/2024,1.66,36,,
07:30 03/10/2024,1.63,36,,
08:00 03/10/2024,4.58,36,,
08:30 03/10/2024,9.83,36,,
09:00 03/10/2024,9.03,36,,
09:30 03/10/2024,10.12,36,,
10:00 03/10/2024,13.14,36,,
10:30 03/10/2024,10.27,36,,
11:00 03/10/2024,12.96,36,,
11:30 03/10/2024,10.42,36,,
12:00 03/10/2024,10.84,36,,
12:30 03/10/2024,12.09,36,,
13:00 03/10/2024,,,36,11.99
13:30 03/10/2024,,,36,9.9
14:00 03/10/2024,,,36,9.32
14:30 03/10/2024,,,36,12.06
15:00 03/10/2024,10.82,36,,
15:30 03/10/2024,7.78,36,,
16:00 03/10/2024,10.57,36,,
16:30 03/10/2024,9.46,36,,
17:00 03/10/2024,8.92,36,,
17:30 03/10/2024,9.34,36,,
18:00 03/10/2024,8.85,36,,
18:30 03/10/2024,9.71,36,,
19:00 03/10/2024,8.45,36,,
19:30 03/10/2024,10.75,36,,
20:00 03/10/2024,8.32,36,,
20:30 03/10/2024,9.01,36,,
21:00 03/10/2024,6.92,36,,
21:30 03/10/2024,8.89,36,,
22:00 03/10/2024,6.13,36,,
22:30 03/10/2024,1.65,36,,
23:00 03/10/2024,1.67,36,,
23:30 03/10/2024,1.68,36,,
00:00 04/10/2024,1.63,36,,
00:30 04/10/2024,,,36,1.69
01:00 04/10/2024,,,36,1.64
