FECHA,EC_Injuries,EC_Deaths,EC_Total_Accidents,UIO_Injuries,UIO_Deaths,UIO_Total_Accidents,GYE_Injuries,GYE_Deaths,GYE_Total_Accidents
2017-01-01,1859,169,2428,338,15,621,254,7,288
2017-02-01,1828,180,2372,346,17,577,322,4,299
2017-03-01,1637,159,2323,328,16,620,239,13,267
2017-04-01,1656,173,2374,299,16,591,246,6,245
2017-05-01,1858,159,2433,367,12,662,332,8,347
2017-06-01,1826,171,2392,331,10,624,271,7,301
2017-07-01,1861,227,2471,369,25,645,340,6,343
2017-08-01,1882,162,2326,311,23,575,316,10,329
2017-09-01,1961,201,2413,350,14,585,290,5,361
2017-10-01,1915,168,2432,390,20,660,312,8,334
2017-11-01,1762,166,2327,347,11,579,284,13,340
2017-12-01,1973,218,2676,355,21,667,300,6,374
2018-01-01,1601,230,2061,306,13,515,218,8,275
2018-02-01,1581,167,1974,247,15,478,208,10,270
2018-03-01,1681,190,2129,319,15,546,198,7,266
2018-04-01,1682,185,2130,324,20,533,234,10,294
2018-05-01,1611,182,2077,298,15,496,260,8,317
2018-06-01,1552,153,2089,351,7,521,234,7,300
2018-07-01,1588,156,2167,278,10,500,272,7,389
2018-08-01,1685,203,2120,350,37,521,297,12,335
2018-09-01,1709,171,2140,309,15,552,261,4,298
2018-10-01,1723,170,2240,257,15,510,303,6,341
2018-11-01,1559,147,2054,247,18,427,291,6,341
2018-12-01,1886,197,2349,288,20,450,313,15,381
2019-01-01,1543,165,1903,235,11,346,256,7,327
2019-02-01,1448,155,1926,189,15,319,254,9,318
2019-03-01,1546,185,2072,175,10,340,239,7,335
2019-04-01,1596,193,2003,232,17,366,324,12,358
2019-05-01,1722,175,2010,230,10,325,284,5,345
2019-06-01,1689,173,2102,259,21,376,329,14,368
2019-07-01,1687,149,2095,219,11,342,367,9,367
2019-08-01,1896,188,2151,170,15,298,357,4,359
2019-09-01,1603,202,2101,172,25,331,264,4,358
2019-10-01,1600,141,1796,143,15,247,345,3,313
2019-11-01,1734,218,2089,217,21,323,370,8,359
2019-12-01,1935,236,2347,216,20,386,398,7,424
2020-01-01,1685,173,1903,208,17,314,381,7,354
2020-02-01,1637,178,1936,210,11,341,285,14,301
2020-03-01,938,103,1086,113,8,198,191,6,214
2020-04-01,383,63,520,39,4,87,101,10,113
2020-05-01,675,105,875,58,14,128,139,9,151
2020-06-01,881,123,1165,81,14,166,247,7,255
2020-07-01,785,104,1136,64,9,141,179,6,254
2020-08-01,1049,118,1399,86,8,173,279,9,284
2020-09-01,1081,118,1468,94,9,187,262,5,265
2020-10-01,1188,162,1837,119,16,262,217,7,297
2020-11-01,1272,158,1725,117,16,243,282,8,267
2020-12-01,1525,186,1922,122,17,269,234,11,268
2021-01-01,1364,198,1763,113,18,247,262,7,265
2021-02-01,1241,145,1577,101,16,186,272,11,272
2021-03-01,1329,174,1691,122,10,241,281,11,288
2021-04-01,1186,134,1429,121,15,172,257,10,231
2021-05-01,1230,154,1488,76,12,170,234,10,227
2021-06-01,1483,155,1780,154,10,213,273,14,269
2021-07-01,1598,188,1828,127,18,233,325,11,293
2021-08-01,1616,177,1916,150,22,250,297,11,297
2021-09-01,1493,185,1921,129,19,258,244,12,292
2021-10-01,1696,205,2048,181,19,294,269,14,267
2021-11-01,1565,173,1896,157,18,255,267,11,258
2021-12-01,1731,243,2015,129,15,271,260,9,273
2022-01-01,1450,179,1739,148,14,217,233,8,235
2022-02-01,1323,161,1672,114,18,219,184,9,188
2022-03-01,1415,178,1727,151,14,240,262,14,246
2022-04-01,1586,202,1905,167,20,262,228,15,242
2022-05-01,1679,180,1855,130,16,220,314,8,263
2022-06-01,1566,156,1694,128,13,199,307,12,292
2022-07-01,1816,220,2013,190,26,228,286,12,302
2022-08-01,1577,194,1783,126,9,202,277,13,279
2022-09-01,1661,175,1822,151,13,219,280,19,263
2022-10-01,1703,212,1885,151,12,233,268,14,257
2022-11-01,1491,142,1647,136,15,217,242,5,222
2022-12-01,1739,203,1997,156,31,296,329,11,314
2023-01-01,1639,169,1729,177,16,228,296,13,270
2023-02-01,1540,205,1698,164,25,247,268,10,254
2023-03-01,1366,179,1564,145,15,242,264,19,253
2023-04-01,1346,183,1556,146,22,239,252,14,241
2023-05-01,1537,186,1694,158,14,249,270,17,252
2023-06-01,1476,234,1745,182,26,267,284,16,283
2023-07-01,1608,204,1855,156,26,279,329,22,310
2023-08-01,1631,206,1773,209,25,298,308,13,271
2023-09-01,1604,190,1839,185,17,285,271,13,265
2023-10-01,1609,186,1804,182,19,277,299,4,264
2023-11-01,1588,190,1770,184,11,270,299,9,266
2023-12-01,1661,241,1966,196,33,335,354,19,333
2024-01-01,1201,140,1382,186,20,226,194,6,195
2024-02-01,1408,166,1654,148,17,262,277,7,249
2024-03-01,1580,184,1831,144,28,280,338,6,313
2024-04-01,1428,179,1667,155,20,281,297,13,275
