Fold,value,Model,Variable
1,0.0926105772987251,LSTM,MinWS
2,0.0883113020507117,LSTM,MinWS
3,0.0908210738178914,LSTM,MinWS
4,0.0840026396123957,LSTM,MinWS
5,0.0874002169559512,LSTM,MinWS
6,0.0867886797551841,LSTM,MinWS
7,0.0837414487030411,LSTM,MinWS
8,0.0845471850606501,LSTM,MinWS
9,0.0866375284213284,LSTM,MinWS
10,0.0803790906244612,LSTM,MinWS
1,0.0876364464588132,ET,MinWS
2,0.0861863648252092,ET,MinWS
3,0.0943857127789167,ET,MinWS
4,0.0845059604535904,ET,MinWS
5,0.0884157320988585,ET,MinWS
6,0.0863659036655581,ET,MinWS
7,0.0814045532175937,ET,MinWS
8,0.0836061329871898,ET,MinWS
9,0.0847253290881989,ET,MinWS
10,0.0806230979128333,ET,MinWS
1,0.080148611433397,LSTM,AvgWS
2,0.0997066810718476,LSTM,AvgWS
3,0.135987873500371,LSTM,AvgWS
4,0.123978550711002,LSTM,AvgWS
5,0.0864538224614939,LSTM,AvgWS
6,0.102003991788734,LSTM,AvgWS
7,0.0781119286126906,LSTM,AvgWS
8,0.0778116426292957,LSTM,AvgWS
9,0.085149460131047,LSTM,AvgWS
10,0.117036937129105,LSTM,AvgWS
1,0.0735937839062254,ET,AvgWS
2,0.0969963188138813,ET,AvgWS
3,0.136789774849435,ET,AvgWS
4,0.123355653804641,ET,AvgWS
5,0.0836822188980371,ET,AvgWS
6,0.101810873413355,ET,AvgWS
7,0.0781167780431193,ET,AvgWS
8,0.0780669633022812,ET,AvgWS
9,0.0847924546027899,ET,AvgWS
10,0.118006976650873,ET,AvgWS
1,0.090873661217069,LSTM,MaxWS
2,0.0786433037530798,LSTM,MaxWS
3,0.0854729456771488,LSTM,MaxWS
4,0.0814514561121855,LSTM,MaxWS
5,0.0748386225656492,LSTM,MaxWS
6,0.0739999052536055,LSTM,MaxWS
7,0.0729546396437674,LSTM,MaxWS
8,0.0797317317234933,LSTM,MaxWS
9,0.0729081509441318,LSTM,MaxWS
10,0.0768495428683164,LSTM,MaxWS
1,0.0752624857089868,ET,MaxWS
2,0.0767830851778092,ET,MaxWS
3,0.0802778100834287,ET,MaxWS
4,0.0788569426740283,ET,MaxWS
5,0.0737323298290448,ET,MaxWS
6,0.0728962704523297,ET,MaxWS
7,0.0699040616071058,ET,MaxWS
8,0.0760905640468671,ET,MaxWS
9,0.0700003732207883,ET,MaxWS
10,0.0757757152783207,ET,MaxWS
