id_persona,frame,x,y
0,13,935,533
1,13,402,414
2,13,634,364
3,13,1223,278
4,13,1102,226
5,13,468,234
6,13,728,222
7,13,32,211
8,13,1318,199
0,14,934,533
1,14,401,414
2,14,634,366
3,14,1229,278
4,14,1103,226
6,14,735,223
7,14,40,213
8,14,1319,199
11,14,435,231
0,15,936,532
1,15,400,417
2,15,635,367
3,15,1224,278
4,15,1104,226
6,15,736,222
7,15,38,213
8,15,1318,200
11,15,438,231
12,15,584,297
0,16,935,532
1,16,400,418
2,16,635,369
6,16,732,222
7,16,37,209
8,16,1318,185
11,16,440,222
12,16,584,297
13,16,799,306
14,16,1319,213
15,16,1053,183
0,17,935,531
1,17,400,420
2,17,635,371
6,17,737,221
7,17,29,208
8,17,1315,185
11,17,443,222
12,17,584,297
13,17,799,307
14,17,1319,214
0,18,933,531
1,18,398,421
2,18,637,371
6,18,738,221
7,18,28,208
8,18,1314,185
11,18,445,222
12,18,584,297
13,18,799,307
14,18,1320,212
16,18,239,199
1,19,398,422
2,19,638,373
6,19,738,221
7,19,25,208
8,19,1308,185
11,19,447,222
14,19,1321,212
16,19,239,199
1,20,397,424
2,20,639,376
6,20,739,221
7,20,27,208
8,20,1305,186
11,20,447,222
14,20,1321,212
16,20,239,199
17,20,799,308
1,21,397,425
2,21,640,377
6,21,740,221
7,21,28,208
8,21,1304,186
11,21,447,222
14,21,1322,213
16,21,238,198
17,21,799,307
18,21,934,525
1,22,396,427
2,22,640,378
6,22,741,221
7,22,27,207
8,22,1301,186
11,22,447,221
14,22,1323,213
16,22,235,198
18,22,933,522
19,22,289,227
1,23,395,429
2,23,640,379
6,23,743,221
7,23,24,207
8,23,1299,186
11,23,447,221
14,23,1325,213
16,23,235,198
18,23,933,523
19,23,285,227
20,23,1325,463
1,24,394,432
2,24,641,380
6,24,744,221
7,24,24,209
8,24,1298,186
11,24,447,220
14,24,1326,214
16,24,234,198
18,24,933,519
19,24,285,228
21,24,582,298
1,25,393,432
2,25,644,381
6,25,749,223
7,25,24,209
8,25,1297,187
11,25,447,220
14,25,1328,214
18,25,934,518
21,25,582,298
1,26,392,434
2,26,644,386
6,26,750,221
7,26,24,208
8,26,1297,187
11,26,448,220
14,26,1329,214
18,26,934,517
21,26,582,298
22,26,233,198
1,27,392,437
2,27,645,388
6,27,755,223
7,27,24,211
8,27,1296,187
11,27,456,225
14,27,1330,214
18,27,934,517
21,27,582,298
22,27,233,198
1,28,391,439
2,28,646,388
6,28,750,221
7,28,22,209
8,28,1297,187
11,28,460,225
14,28,1331,215
18,28,934,517
23,28,1123,228
24,28,287,228
1,29,391,439
2,29,646,388
6,29,752,221
7,29,21,209
8,29,1294,188
11,29,462,225
14,29,1333,215
18,29,934,516
23,29,1123,228
24,29,284,225
25,29,583,298
1,30,391,440
2,30,646,389
6,30,754,221
7,30,20,211
8,30,1288,189
11,30,462,224
14,30,1334,215
18,30,934,516
23,30,1125,228
24,30,285,225
25,30,584,299
1,31,391,440
2,31,646,389
6,31,755,220
7,31,20,210
8,31,1289,189
11,31,463,224
14,31,1334,215
18,31,938,515
23,31,1129,228
24,31,285,224
25,31,584,300
1,32,391,442
2,32,647,392
6,32,756,218
7,32,19,210
8,32,1286,189
11,32,464,223
14,32,1335,216
18,32,937,513
23,32,1129,227
24,32,284,226
1,33,390,443
2,33,647,394
6,33,757,218
7,33,21,211
8,33,1284,190
14,33,1336,216
18,33,938,512
23,33,1131,227
24,33,285,224
26,33,583,300
1,34,390,448
2,34,648,396
6,34,759,218
7,34,24,211
8,34,1283,191
14,34,1335,215
23,34,1133,227
24,34,285,223
1,35,390,449
2,35,650,398
6,35,759,217
7,35,24,211
8,35,1281,191
14,35,1337,215
24,35,284,223
27,35,939,509
28,35,583,301
1,36,389,448
2,36,651,399
6,36,759,219
7,36,24,206
8,36,1280,191
14,36,1338,216
24,36,288,226
27,36,939,508
28,36,583,303
29,36,492,578
30,36,1138,227
31,36,434,221
1,37,389,451
2,37,653,401
6,37,760,219
7,37,24,212
14,37,1341,215
24,37,283,224
27,37,940,506
28,37,584,304
29,37,492,578
30,37,1139,227
31,37,434,221
1,38,389,452
2,38,655,403
6,38,764,219
7,38,24,213
14,38,1342,216
24,38,290,227
27,38,939,505
28,38,584,305
29,38,492,578
32,38,228,199
1,39,389,456
2,39,655,403
6,39,764,219
7,39,26,213
14,39,1344,216
27,39,940,505
28,39,583,305
32,39,223,199
1,40,387,457
2,40,655,404
6,40,766,219
7,40,20,213
14,40,1347,216
27,40,940,501
28,40,583,305
33,40,1322,457
1,41,387,458
2,41,656,405
6,41,768,218
7,41,22,213
14,41,1348,216
27,41,940,501
28,41,584,305
33,41,1322,457
34,41,492,577
35,41,442,222
36,41,1268,194
1,42,386,459
2,42,657,406
6,42,770,219
7,42,22,212
14,42,1348,216
27,42,940,501
35,42,445,222
36,42,1265,194
37,42,662,202
38,42,220,199
1,43,386,459
2,43,657,407
6,43,772,219
