age,income,savings_rate,risk_score,test_score,education,gender
26.2,18683.96,0.12,22,55,High School,Male
26.7,42476.57,0.52,10,79.8,PhD,Female
32.7,42580.42,0.22,9.6,78.7,Master's,Female
38.7,4932.26,0.2,4.8,66.8,Bachelor's,Female
44.1,7957.59,0.14,4.8,44.3,High School,Female
27,292.64,0.13,2.7,56,High School,Female
49.9,10287.02,0.11,9.9,50.6,High School,Female
32.3,561.62,0.34,8.8,83.4,Master's,Female
34.8,86813.13,0.22,27.2,61.7,Bachelor's,Male
27.5,131720.02,0.29,9,79.3,Master's,Male
10.8,46340.22,0.14,15.8,54.3,High School,Male
43.8,162728.45,0.53,7.2,82.2,PhD,Non-binary
42.4,3882.02,0.38,7,82,Master's,Female
32.2,1653.21,0.11,5.5,55.2,High School,Male
35.7,7532.07,0.13,7.5,50.7,High School,Female
40.2,6905.34,0.09,2.7,52.2,High School,Female
19.4,11072.64,0.1,22.7,60.2,High School,Male
29.7,268.76,0.13,10.4,73.9,Bachelor's,Female
42.9,21172.09,0.1,12.8,71.1,Bachelor's,Female
22.5,1650.6,0.13,18.7,61.1,High School,Male
37.9,48738.45,0.21,12.7,65.4,Bachelor's,Female
21.4,26692.23,0.11,23.3,55.2,High School,Male
39.7,2978.98,0.07,14.9,56.4,High School,Female
34.6,28435.56,0.11,15.5,55.9,High School,Non-binary
18.8,70380.1,0.19,10,69.6,Bachelor's,Female
46.6,105855.15,0.25,9.5,75.1,Master's,Male
27.7,6026,0.07,4.9,58.4,High School,Female
26.9,22635.75,0.13,2.8,69.4,Bachelor's,Female
37,57179.58,0.16,26.3,74.4,Bachelor's,Male
46.5,5078.08,0.12,5.5,57.4,High School,Female
24.8,134304.22,0.2,12.5,66.7,Bachelor's,Male
35.6,18980.27,0.07,9.5,52.6,High School,Female
39.3,7377.32,0.12,26,57.9,High School,Male
41.9,24949.58,0.37,21.9,88,PhD,Male
36.8,55129.85,0.44,3.6,83.7,PhD,Male
31.3,45637.03,0.21,10.5,82,Master's,Female
26.7,9362.99,0.14,29.6,57.7,High School,Male
35.9,88986.84,0.13,13.7,53.8,High School,Female
24.3,13745.34,0.19,5.3,74.6,Bachelor's,Male
5.8,78879.89,0.23,49.2,66.8,Bachelor's,Male
39.4,4422.53,0.05,7.3,59.9,High School,Female
44,26724.07,0.15,10.3,67.6,Bachelor's,Female
11.4,6335.74,0.05,24,60.3,High School,Male
24.9,3177.31,0.52,9.8,87.5,PhD,Female
41.2,13259.63,0.11,14.1,61.5,High School,Female
55.6,149616.07,0.21,7.6,77,Bachelor's,Female
35.2,29494.52,0.09,10.2,57.8,High School,Male
27.7,127058.04,0.15,17.3,70.6,Bachelor's,Male
33.2,7609.45,0.25,19.9,74.5,Bachelor's,Female
48.7,30134.82,0.11,4.7,57.2,High School,Male
28.5,48522.97,0.48,10.6,87.2,PhD,Female
27,10256.42,0.3,10.8,79.4,Master's,Female
30.2,95557.66,0.48,5.7,86.6,PhD,Female
25.5,51214.66,0.24,11.1,75.9,Master's,Female
36.2,24291.4,0.2,20.2,72.1,Bachelor's,Non-binary
51.2,144332.65,0.52,25.5,90.3,PhD,Male
38.2,51874.37,0.1,8.2,50.6,High School,Female
32.5,20401.24,0.08,31.9,53.7,High School,Male
32.1,21003.04,0.11,13.2,51.8,High School,Male
19.4,14936.9,0.14,14.6,54.4,High School,Female
43.8,17216.1,0.07,14.1,54.3,High School,Female
34.2,26744.45,0.08,19.1,55.8,High School,Non-binary
33.2,329938.78,0.21,15.1,81.2,Master's,Female
66.9,15012.15,0.13,5.1,55.3,High School,Male
38,9801.31,0.06,38.5,56.4,High School,Male
27.5,88961.93,0.11,7,71.2,Bachelor's,Female
30.7,1768.42,0.07,10.2,48.1,High School,Male
46.5,8941.62,0.23,8,79.1,Master's,Male
36.1,86754.4,0.13,37.1,48.2,High School,Male
20.6,192112.81,0.42,11.9,83.1,PhD,Male
44.2,22228.47,0.23,10.9,85.5,Master's,Male
28.3,1550.58,0.07,25.7,50.4,High School,Male
53.7,3813.7,0.08,28.3,47.3,High School,Male
45.8,69615.59,0.36,7.7,79.4,Master's,Male
