FECHA,variable,value,Year,Month,Day,DayOfWeek,Hour
1980-01-01,QH0889,54.52,1980,1,1,1,0
1980-01-02,QH0889,54.67,1980,1,2,2,0
1980-01-03,QH0889,120.46,1980,1,3,3,0
1980-01-04,QH0889,110.47,1980,1,4,4,0
1980-01-05,QH0889,92.28,1980,1,5,5,0
1980-01-06,QH0889,153.65,1980,1,6,6,0
1980-01-07,QH0889,141.59,1980,1,7,0,0
1980-01-08,QH0889,65.98,1980,1,8,1,0
1980-01-09,QH0889,74.51,1980,1,9,2,0
1980-01-10,QH0889,78.25,1980,1,10,3,0
1980-01-11,QH0889,57.88,1980,1,11,4,0
1980-01-12,QH0889,56.1,1980,1,12,5,0
1981-01-01,QH0889,41.52,1981,1,1,3,0
1981-01-02,QH0889,82.59,1981,1,2,4,0
1981-01-03,QH0889,79.13,1981,1,3,5,0
1981-01-04,QH0889,91.65,1981,1,4,6,0
1981-01-05,QH0889,54.31,1981,1,5,0,0
1981-01-06,QH0889,106.14,1981,1,6,1,0
1981-01-07,QH0889,90.24,1981,1,7,2,0
1981-01-08,QH0889,53.67,1981,1,8,3,0
1981-01-09,QH0889,39.96,1981,1,9,4,0
1981-01-10,QH0889,40.81,1981,1,10,5,0
1981-01-11,QH0889,30.06,1981,1,11,6,0
1981-01-12,QH0889,54.81,1981,1,12,0,0
1982-01-01,QH0889,37.35,1982,1,1,4,0
1982-01-02,QH0889,35.32,1982,1,2,5,0
1982-01-03,QH0889,50.7,1982,1,3,6,0
1982-01-04,QH0889,70.06,1982,1,4,0,0
1982-01-05,QH0889,89.29,1982,1,5,1,0
1982-01-06,QH0889,83.16,1982,1,6,2,0
1982-01-07,QH0889,103.97,1982,1,7,3,0
1982-01-08,QH0889,91.15,1982,1,8,4,0
1982-01-09,QH0889,58.91,1982,1,9,5,0
1982-01-10,QH0889,49.69,1982,1,10,6,0
1982-01-11,QH0889,56.59,1982,1,11,0,0
1982-01-12,QH0889,63.06,1982,1,12,1,0
1983-01-01,QH0889,106.73,1983,1,1,5,0
1983-01-02,QH0889,103.96,1983,1,2,6,0
1983-01-03,QH0889,93.8,1983,1,3,0,0
1983-01-04,QH0889,67.7,1983,1,4,1,0
1983-01-05,QH0889,99.32,1983,1,5,2,0
1983-01-06,QH0889,78.23,1983,1,6,3,0
1983-01-07,QH0889,74.53,1983,1,7,4,0
1983-01-08,QH0889,60.92,1983,1,8,5,0
1983-01-09,QH0889,77.4,1983,1,9,6,0
1983-01-10,QH0889,80.16,1983,1,10,0,0
1983-01-11,QH0889,49.09,1983,1,11,1,0
1983-01-12,QH0889,54.66,1983,1,12,2,0
1984-01-01,QH0889,36.19,1984,1,1,6,0
1984-01-02,QH0889,71.31,1984,1,2,0,0
1984-01-03,QH0889,70.26,1984,1,3,1,0
1984-01-04,QH0889,59.25,1984,1,4,2,0
1984-01-05,QH0889,59.25,1984,1,5,3,0
1984-01-06,QH0889,59.25,1984,1,6,4,0
1984-01-07,QH0889,59.25,1984,1,7,5,0
1984-01-08,QH0889,59.25,1984,1,8,6,0
1984-01-09,QH0889,59.25,1984,1,9,0,0
1984-01-10,QH0889,59.25,1984,1,10,1,0
1984-01-11,QH0889,59.25,1984,1,11,2,0
1984-01-12,QH0889,59.25,1984,1,12,3,0
1985-01-01,QH0889,37.07,1985,1,1,1,0
1985-01-02,QH0889,51.01,1985,1,2,2,0
1985-01-03,QH0889,70.17,1985,1,3,3,0
1985-01-04,QH0889,47.15,1985,1,4,4,0
1985-01-05,QH0889,95.66,1985,1,5,5,0
1985-01-06,QH0889,142.84,1985,1,6,6,0
1985-01-07,QH0889,109.07,1985,1,7,0,0
1985-01-08,QH0889,106.82,1985,1,8,1,0
1985-01-09,QH0889,58.86,1985,1,9,2,0
1985-01-10,QH0889,61.0,1985,1,10,3,0
1985-01-11,QH0889,44.45,1985,1,11,4,0
1985-01-12,QH0889,38.6,1985,1,12,5,0
1986-01-01,QH0889,56.39,1986,1,1,2,0
1986-01-02,QH0889,39.8,1986,1,2,3,0
1986-01-03,QH0889,48.97,1986,1,3,4,0
1986-01-04,QH0889,110.33,1986,1,4,5,0
1986-01-05,QH0889,95.22,1986,1,5,6,0
1986-01-06,QH0889,67.15,1986,1,6,0,0
1986-01-07,QH0889,109.07,1986,1,7,1,0
1986-01-08,QH0889,60.71,1986,1,8,2,0
1986-01-09,QH0889,74.18,1986,1,9,3,0
1986-01-10,QH0889,52.97,1986,1,10,4,0
1986-01-11,QH0889,58.02,1986,1,11,5,0
1986-01-12,QH0889,77.4,1986,1,12,6,0
1987-01-01,QH0889,82.69,1987,1,1,3,0
1987-01-02,QH0889,159.2,1987,1,2,4,0
1987-01-03,QH0889,66.9,1987,1,3,5,0
1987-01-04,QH0889,79.98,1987,1,4,6,0
1987-01-05,QH0889,75.38,1987,1,5,0,0
1987-01-06,QH0889,85.71,1987,1,6,1,0
1987-01-07,QH0889,128.4,1987,1,7,2,0
1987-01-08,QH0889,66.56,1987,1,8,3,0
1987-01-09,QH0889,55.73,1987,1,9,4,0
1987-01-10,QH0889,42.78,1987,1,10,5,0
1987-01-11,QH0889,29.62,1987,1,11,6,0
1987-01-12,QH0889,50.93,1987,1,12,0,0
1988-01-01,QH0889,58.57,1988,1,1,4,0
1988-01-02,QH0889,86.1,1988,1,2,5,0
1988-01-03,QH0889,70.68,1988,1,3,6,0
1988-01-04,QH0889,76.25,1988,1,4,0,0
1988-01-05,QH0889,74.71,1988,1,5,1,0
1988-01-06,QH0889,52.49,1988,1,6,2,0
1988-01-07,QH0889,80.35,1988,1,7,3,0
1988-01-08,QH0889,47.75,1988,1,8,4,0
1988-01-09,QH0889,34.0,1988,1,9,5,0
1988-01-10,QH0889,46.03,1988,1,10,6,0
1988-01-11,QH0889,46.05,1988,1,11,0,0
