sqft,utownwf,price
23.75,0,194.3
29.51,0,282.6
27.32,0,242.2
25.99,0,198.3
21.56,0,147.6
21.56,0,175.4
20.58,0,129.4
28.66,0,273.2
26.01,0,233.7
27.08,0,211.4
20.21,0,117.8
29.7,0,274.1
28.32,0,231.0
22.12,0,196.0
21.82,0,136.3
21.83,0,156.4
23.04,0,180.5
25.25,0,203.4
24.32,0,184.2
22.91,0,191.6
26.12,0,189.8
21.39,0,161.1
22.92,0,181.6
23.66,0,196.9
24.56,0,209.8
27.85,0,206.0
22.0,0,139.3
25.14,0,227.0
25.92,0,215.9
20.46,0,139.7
26.08,0,241.8
21.71,0,169.4
20.65,0,180.1
29.49,0,246.2
29.66,0,287.8
28.08,0,265.9
23.05,0,175.5
20.98,0,179.2
26.84,0,231.3
24.4,0,221.4
21.22,0,142.9
24.95,0,213.2
20.34,0,174.6
29.09,0,205.8
22.59,0,152.2
26.63,0,175.5
23.12,0,175.8
25.2,0,216.4
25.47,0,234.7
21.85,0,170.0
29.7,0,279.5
27.75,0,199.9
29.39,0,209.9
28.95,0,238.4
25.98,0,217.5
29.22,0,241.5
20.88,0,117.5
21.96,0,167.8
20.45,0,128.4
23.25,0,195.9
23.89,0,196.2
22.71,0,158.3
28.29,0,222.6
23.57,0,164.5
22.81,0,176.8
25.43,0,223.4
21.41,0,144.4
28.02,0,240.3
20.75,0,146.8
29.87,0,232.8
27.72,0,225.1
21.99,0,149.2
20.06,0,139.5
28.15,0,207.6
27.07,0,260.0
27.29,0,223.6
27.71,0,213.1
20.74,0,161.7
23.58,0,183.6
21.16,0,157.2
28.63,0,248.6
26.23,0,227.5
23.31,0,172.5
20.64,0,144.8
23.11,0,175.6
23.25,0,136.5
27.3,0,192.7
26.38,0,241.1
28.87,0,271.6
24.72,0,192.2
21.2,0,173.5
27.13,0,227.5
27.61,0,287.7
25.61,0,228.5
27.71,0,224.5
24.94,0,180.3
25.23,0,170.1
24.28,0,196.8
20.25,0,137.4
21.08,0,132.3
20.31,0,140.2
26.36,0,192.0
23.14,0,215.2
25.09,0,218.5
29.08,0,240.6
22.49,0,204.5
24.1,0,192.6
27.56,0,208.3
22.29,0,203.3
20.77,0,168.5
22.9,0,158.2
21.61,0,162.3
29.3,0,225.5
28.08,0,203.2
26.33,0,231.9
28.71,0,275.3
28.04,0,202.4
21.87,0,179.9
28.93,0,226.2
25.39,0,194.2
28.07,0,218.9
28.96,0,222.3
23.18,0,182.8
21.1,0,144.4
22.28,0,178.2
24.27,0,191.7
28.18,0,227.0
28.61,0,217.9
20.07,0,139.2
25.11,0,216.2
24.17,0,201.8
22.22,0,152.7
21.2,0,164.0
23.38,0,198.8
29.43,0,210.9
23.23,0,193.2
25.19,0,188.6
27.03,0,231.7
23.64,0,171.1
29.72,0,211.1
29.62,0,213.7
22.52,0,176.1
24.97,0,204.9
23.01,0,162.0
22.85,0,191.3
20.37,0,120.5
26.1,0,209.6
25.03,0,176.0
20.51,0,142.1
22.79,0,178.8
29.08,0,223.6
22.4,0,166.3
21.45,0,184.6
24.89,0,187.4
29.86,0,265.3
22.42,0,151.6
26.72,0,227.8
27.62,0,255.0
22.38,0,124.3
27.28,0,206.9
23.68,0,198.3
26.32,0,209.2
26.34,0,220.8
25.36,0,191.5
20.9,0,160.8
28.35,0,230.4
23.21,0,205.4
21.87,0,173.7
20.41,0,160.8
25.91,0,200.9
26.78,0,208.0
20.17,0,143.0
25.12,0,209.1
22.26,0,164.2
26.45,0,220.3
21.74,0,208.9
26.91,0,236.5
23.87,0,182.2
29.37,0,267.7
21.38,0,155.6
23.41,0,143.3
21.13,0,141.2
29.25,0,205.1
28.77,0,230.7
22.58,0,176.2
26.6,0,249.5
28.17,0,238.3
25.55,0,201.1
25.3,0,219.6
22.42,0,130.0
20.93,0,164.0
28.97,0,255.1
29.0,0,210.5
26.33,0,236.2
23.39,0,190.7
23.49,0,176.6
27.26,0,235.3
28.97,0,285.1
28.87,0,242.3
27.8,0,233.0
26.42,0,205.0
20.84,0,141.4
21.62,0,182.8
28.99,0,222.7
26.06,0,212.1
20.09,0,141.4
21.01,0,169.7
26.64,0,223.0
20.05,0,171.3
21.61,0,155.9
25.49,0,199.5
26.92,0,199.6
26.52,0,206.3
22.24,0,180.0
27.12,0,236.4
22.37,0,155.3
23.25,0,199.9
27.46,0,251.8
26.5,0,223.2
28.49,0,272.5
26.58,0,200.3
25.68,0,181.9
20.94,0,123.8
23.68,0,216.7
22.65,0,189.6
22.44,0,173.3
29.73,0,252.9
23.93,0,166.8
28.92,0,288.1
26.31,0,215.7
27.95,0,231.7
25.03,0,214.8
25.77,0,217.3
24.93,0,203.7
21.95,0,153.7
27.22,0,231.7
22.81,0,215.7
20.24,0,179.3
26.45,0,246.4
21.77,0,157.5
29.4,0,224.3
29.54,0,242.9
29.15,0,242.6
23.7,0,208.9
20.15,0,117.7
29.28,0,273.4
24.28,0,189.7
29.67,0,238.1
29.64,0,226.1
28.53,0,202.2
22.94,1,270.9
23.85,1,265.0
28.51,1,284.3
23.17,1,230.8
21.69,1,235.2
25.57,1,314.1
29.36,1,313.4
26.96,1,264.5
25.7,1,277.1
20.97,1,229.3
26.15,1,232.6
29.9,1,322.9
21.4,1,234.4
25.18,1,290.8
28.77,1,349.7
27.41,1,321.6
26.97,1,289.3
27.02,1,273.1
23.59,1,312.4
22.94,1,255.5
28.09,1,306.2
28.1,1,305.5
28.67,1,315.7
29.13,1,313.4
25.11,1,264.7
25.02,1,264.2
27.98,1,304.2
26.5,1,279.1
27.02,1,280.9
27.96,1,306.7
28.9,1,308.9
23.38,1,288.9
23.76,1,209.5
20.94,1,256.2
25.78,1,307.7
20.36,1,187.1
24.66,1,264.7
25.43,1,271.8
22.87,1,225.5
25.91,1,268.5
20.31,1,205.8
20.37,1,263.8
28.23,1,326.0
23.6,1,286.5
21.27,1,252.1
25.22,1,254.6
27.7,1,291.5
22.16,1,256.4
26.23,1,262.8
20.85,1,247.8
20.52,1,225.4
25.31,1,270.6
25.41,1,293.3
26.37,1,297.6
27.26,1,290.4
29.76,1,345.8
25.16,1,255.0
23.23,1,269.6
27.95,1,316.4
22.71,1,245.9
24.39,1,275.4
20.78,1,207.8
20.25,1,246.0
29.63,1,317.6
28.36,1,298.1
26.96,1,315.6
24.09,1,251.8
21.73,1,214.2
21.56,1,209.5
22.5,1,262.1
25.49,1,254.3
27.15,1,331.6
26.6,1,249.4
22.8,1,286.9
29.55,1,324.7
27.38,1,296.9
25.54,1,269.5
26.12,1,294.2
24.2,1,266.2
22.48,1,271.8
23.56,1,262.9
27.58,1,303.8
20.14,1,219.2
21.16,1,235.5
20.46,1,235.8
20.41,1,194.9
28.55,1,283.6
27.04,1,310.2
24.74,1,275.8
20.98,1,231.1
24.92,1,274.5
24.73,1,279.3
21.73,1,231.5
24.34,1,252.8
23.99,1,268.8
26.16,1,267.0
26.35,1,296.7
20.45,1,195.5
23.75,1,283.0
26.26,1,297.0
25.03,1,280.4
28.56,1,330.3
26.59,1,324.2
21.63,1,261.6
20.71,1,195.2
26.42,1,263.7
20.27,1,215.2
25.86,1,284.1
29.4,1,329.4
25.75,1,268.0
23.88,1,267.6
26.43,1,274.2
24.58,1,258.6
25.46,1,251.4
29.41,1,300.7
23.86,1,236.6
29.61,1,301.6
29.05,1,336.6
21.96,1,225.6
20.69,1,284.6
21.01,1,244.9
20.18,1,230.5
20.94,1,217.3
26.83,1,307.3
20.71,1,220.6
23.19,1,259.3
28.45,1,360.7
20.23,1,225.4
28.14,1,329.4
22.82,1,239.1
21.18,1,236.1
26.97,1,330.1
26.29,1,275.4
28.77,1,349.0
27.35,1,312.7
28.03,1,294.1
22.82,1,265.9
21.77,1,262.2
27.51,1,312.5
28.07,1,274.3
29.91,1,309.5
24.13,1,261.3
23.72,1,260.7
27.76,1,315.1
23.41,1,262.6
29.31,1,291.4
28.58,1,318.4
24.29,1,280.1
27.51,1,311.3
27.55,1,322.1
21.03,1,252.0
29.03,1,324.4
25.05,1,274.1
28.26,1,274.4
23.2,1,265.6
28.96,1,318.7
23.89,1,269.4
20.11,1,200.5
29.05,1,293.9
20.91,1,255.2
23.19,1,256.1
29.5,1,333.6
29.51,1,320.6
25.73,1,282.9
26.32,1,306.9
24.48,1,259.5
22.93,1,256.2
23.29,1,248.6
26.73,1,283.6
27.52,1,294.1
27.92,1,308.6
27.9,1,294.4
20.91,1,259.2
24.94,1,256.5
20.58,1,227.0
25.5,1,271.2
24.42,1,298.1
28.88,1,317.7
23.51,1,280.7
21.17,1,207.0
21.43,1,244.6
27.62,1,318.9
26.18,1,288.5
21.01,1,256.4
20.84,1,223.1
27.01,1,323.3
20.73,1,278.3
28.22,1,299.9
27.06,1,286.7
20.81,1,262.2
20.85,1,265.1
29.87,1,313.2
23.74,1,254.0
23.71,1,256.4
28.13,1,279.4
29.47,1,301.4
29.86,1,303.5
27.53,1,285.0
23.76,1,261.9
20.84,1,238.0
27.77,1,333.7
25.58,1,260.9
24.24,1,287.1
29.06,1,311.4
21.11,1,235.1
24.93,1,287.8
20.11,1,203.7
24.69,1,279.5
20.56,1,234.0
21.19,1,246.7
21.18,1,242.5
26.49,1,339.0
27.46,1,286.8
25.83,1,272.7
29.62,1,308.8
23.75,1,251.4
22.86,1,240.8
28.69,1,335.6
22.24,1,275.8
29.63,1,309.9
20.12,1,209.6
29.7,1,331.4
20.43,1,218.3
28.91,1,326.8
25.28,1,281.8
29.93,1,294.0
20.74,1,263.3
25.54,1,316.3
29.69,1,309.7
25.23,1,269.6
26.29,1,293.7
26.96,1,301.3
24.55,1,283.6
26.28,1,328.0
25.84,1,279.9
29.01,1,299.1
20.45,1,202.0
22.81,1,238.5
29.5,1,319.4
28.9,1,349.9
24.56,1,260.2
26.2,1,291.5
22.77,1,252.4
21.88,1,267.6
24.64,1,321.9
23.53,1,249.7
25.84,1,273.6
20.78,1,253.7
29.74,1,336.1
29.86,1,360.6
