PAIS,PIB
USA,17946996
China,10866444
Japan,4123258
Germany,3355772
UK,2848755
France,2421682
India,2073543
Italy,1814763
Brazil,1774725
Canada,1550537
Korea,1377873
Australia,1339539
Russia,1326015
Spain,1199057
Mexico,1144331
Indonesia,861934
Netherlands,752547
Turkey,718221
Switzerland,664738
Saudi Arabia,646002
Argentina,548055
Sweden,492618
Nigeria,481066
Poland,474783
Belgium,454039
Iran,425326
Thailand,395282
Norway,388315
Austria,374056
Venezuela,371337
United Arab Emirates,370293
Egypt,330779
South Africa,312798
Hong Kong,309929
Malaysia,296218
Israel,296075
Denmark,295164
Singapore,292739
Colombia,292080
Philippines,291965
Pakistan,269971
Chile,240216
Ireland,238020
Finland,229810
Portugal,198931
Greece,195212
Bangladesh,195079
Vietnam,193599
Peru,192084
Kazakhstan,184361
Czech Republic,181811
Romania,177954
New Zealand,173754
Iraq,168607
Qatar,166908
Algeria,166839
Hungary,120687
Kuwait,112812
Puerto Rico,103135
Angola,102643
Ecuador,100872
Morocco,100360
Ukraine,90615
Slovak Republic,86582
Sudan,84067
Sri Lanka,82316
Cuba,77150
Oman,70255
Dominican Republic,67103
Uzbekistan,66733
Myanmar,64866
Guatemala,63794
Kenya,63398
Ethiopia,61537
Luxembourg,57794
Belarus,54609
Uruguay,53443
Azerbaijan,53047
Panama,52132
Costa Rica,51107
Bulgaria,48953
Croatia,48732
Lebanon,47103
Macao,46178
Tanzania,44895
Tunisia,43015
Slovenia,42747
Lithuania,41244
Ghana,37864
Jordan,37517
Turkmenistan,37334
Serbia,36513
Yemen,35955
Republic of Congo,35238
Bolivia,33197
Bahrain,32221
Côte d'Ivoire,31753
Cameroon,29198
Libya,29153
Trinidad and Tobago,27806
Paraguay,27623
Latvia,27035
Uganda,26369
El Salvador,25850
Estonia,22691
Zambia,21202
Nepal,20881
Honduras,20152
Cyprus,19320
Afghanistan,19199
Cambodia,18050
Papua New Guinea,16929
Iceland,16598
Bosnia and Herzegovina,15995
Brunei Darussalam,15492
Mozambique,14689
Botswana,14391
Gabon,14340
Jamaica,14006
Georgia,13965
Zimbabwe,13893
Senegal,13780
Mali,13100
Nicaragua,12693
West Bank and Gaza,12677
Lao PDR,12327
Mongolia,11758
Namibia,11546
Mauritius,11511
Albania,11456
Burkina Faso,11099
Chad,10889
Armenia,10561
Macedonia,10086
Madagascar,9981
Malta,9643
Equatorial Guinea,9398
South Sudan,9015
"Bahamas, The",8884
Haiti,8877
Republic of Congo,8553
Benin,8476
Rwanda,8096
Tajikistan,7853
Niger,7143
Isle of Man,6754
Guinea,6699
Kyrgyz Republic,6572
Malawi,6565
Moldova,6551
Kosovo,6386
Somalia,5953
Bermuda,5574
Mauritania,5442
Suriname,4878
Sierra Leone,4475
Barbados,4451
Fiji,4386
Swaziland,4060
Togo,4003
Montenegro,3993
Andorra,3249
Guyana,3166
Maldives,3143
Burundi,3085
Faroe Islands,2613
Greenland,2441
Lesotho,2181
Liberia,2053
Bhutan,1962
Belize,1763
Cabo Verde,1630
Djibouti,1589
Central African Republic,1503
Seychelles,1438
St. Lucia,1436
Timor-Leste,1412
Antigua and Barbuda,1297
Solomon Islands,1157
Guinea-Bissau,1057
Grenada,978
St. Kitts and Nevis,922
"Gambia, The",851
Vanuatu,815
Samoa,761
St. Vincent and the Grenadines,751
Comoros,624
Dominica,538
Tonga,434
São Tomé and Principe,337
Micronesia,318
Palau,287
Marshall Islands,187
Kiribati,145
Tuvalu,38
