Genre,Author,Play,Year,Word Count
Tragedy,Euripides,Cyclops,438,4104
Tragedy,Aeschylus,The Suppliants,463,4939
Tragedy,Aeschylus,The Seven Against Thebes,467,5115
Tragedy,Aeschylus,The Persians,472,5189
Tragedy,Aeschylus,Eumenides,458,5297
Tragedy,Euripides,The Suppliants,421,5426
Tragedy,Aeschylus,Libation Bearers,458,5447
Tragedy,Euripides,Heracleidae,428,6240
Tragedy,Euripides,Alcestis,438,6603
Tragedy,Euripides,Trojan Women,415,7077
Tragedy,Sophocles,Ajax,451,7177
Tragedy,Euripides,Hecuba,425,7279
Tragedy,Sophocles,Electra,409,7363
Tragedy,Euripides,Andromanche,427,7398
Tragedy,Euripides,Bacchae,405,7597
Tragedy,Euripides,Electra,413,7672
Tragedy,Euripides,Heracles,422,7902
Tragedy,Sophocles,Antigone,441,7914
Tragedy,Euripides,Medea,431,8032
Tragedy,Euripides,Hippolytus,428,8157
Tragedy,Aeschylus,Agamemnon,458,8187
Tragedy,Euripides,Iphigenia in Tauris,413,8396
Tragedy,Sophocles,Oedipus at Colonus,401,8702
Tragedy,Sophocles,The Trachiniae,409,8830
Tragedy,Euripides,Ion,417,9240
Tragedy,Sophocles,Philoctetes,409,9280
Tragedy,Euripides,Iphigenia in Aulis,405,9430
Tragedy,Euripides,Phoenician Women,410,9879
Tragedy,Euripides,Helena,412,9927
Tragedy,Euripides,Orestes,408,10030
Tragedy,Sophocles,Oedipus Rex,409,10385
