Date,Time,PM2.5,lat,lon
2013-05-09,8:15:31,33,4.682467729,-74.04363848
2013-05-09,8:15:36,71,4.682480721,-74.04363966
2013-05-09,8:15:41,85,4.682486085,-74.04362767
2013-05-09,8:15:46,47,4.682484996,-74.04361317
2013-05-09,8:15:51,41,4.682493797,-74.04360822
2013-05-09,8:15:56,289,4.682494635,-74.04357897
2013-05-09,8:16:01,159,4.682499329,-74.0435607
2013-05-09,8:16:02,192,4.682494383,-74.04355139
2013-05-09,8:16:03,191,4.682497317,-74.04354134
2013-05-09,8:16:04,183,4.682505028,-74.04354846
2013-05-09,8:16:05,175,4.682504525,-74.04355383
2013-05-09,8:16:06,316,4.682513326,-74.04356606
2013-05-09,8:16:07,270,4.682514165,-74.04356782
2013-05-09,8:16:08,51,4.682505364,-74.04356514
2013-05-09,8:16:09,67,4.682496898,-74.04355483
2013-05-09,8:16:10,92,4.682495557,-74.04355735
2013-05-09,8:16:11,97,4.682492958,-74.04355852
2013-05-09,8:16:12,96,4.682490276,-74.04355726
2013-05-09,8:16:13,97,4.682495557,-74.04356229
2013-05-09,8:16:14,98,4.682498323,-74.04356556
2013-05-09,8:16:15,105,4.682501173,-74.04356816
2013-05-09,8:16:16,109,4.682501592,-74.04356975
2013-05-09,8:16:21,145,4.682503939,-74.0435778
2013-05-09,8:16:26,70,4.682498993,-74.04356623
2013-05-09,8:16:31,44,4.682504442,-74.04357553
2013-05-09,8:16:36,49,4.682513662,-74.04359599
2013-05-09,8:16:41,73,4.682508381,-74.04360378
2013-05-09,8:16:46,124,4.682515338,-74.04362314
2013-05-09,8:16:51,38,4.68255708,-74.04365533
2013-05-09,8:16:56,52,4.6825461,-74.04364452
2013-05-09,8:17:01,0,4.682533862,-74.04362516
2013-05-09,8:17:06,0,4.682486253,-74.04361049
2013-05-09,8:17:11,19,4.682401596,-74.0436208
2013-05-09,8:17:16,34,4.682267318,-74.04368525
2013-05-09,8:17:21,9,4.682117533,-74.04377963
2013-05-09,8:17:26,49,4.681976633,-74.04380126
2013-05-09,8:17:31,592,4.681851575,-74.0438482
2013-05-09,8:17:36,327,4.681721739,-74.04388357
2013-05-09,8:17:41,6,4.681539265,-74.04397242
2013-05-09,8:17:46,0,4.681355199,-74.04406353
2013-05-09,8:17:51,22,4.68115923,-74.04417568
2013-05-09,8:17:56,32,4.681040375,-74.04436469
2013-05-09,8:18:01,107,4.680876676,-74.04449478
2013-05-09,8:18:06,27,4.680732423,-74.0445791
2013-05-09,8:18:07,0,4.68070359,-74.04459603
2013-05-09,8:18:08,0,4.680615077,-74.04460173
2013-05-09,8:18:09,0,4.680550452,-74.04461816
2013-05-09,8:18:10,0,4.680507453,-74.04463618
2013-05-09,8:18:11,0,4.68047183,-74.04463786
2013-05-09,8:18:12,0,4.680436291,-74.04464565
2013-05-09,8:18:13,0,4.6804062,-74.04465185
2013-05-09,8:18:14,0,4.680373091,-74.04466904
2013-05-09,8:18:15,15,4.680343252,-74.04468354
2013-05-09,8:18:16,18,4.680303941,-74.0446998
2013-05-09,8:18:17,20,4.680266054,-74.04472427
2013-05-09,8:18:18,34,4.680228336,-74.04474179
2013-05-09,8:18:19,56,4.68019045,-74.04473274
2013-05-09,8:18:24,31,4.680005126,-74.04479804
2013-05-09,8:18:29,56,4.679832123,-74.0448775
2013-05-09,8:18:34,113,4.679663396,-74.04495369
2013-05-09,8:18:39,62,4.679483939,-74.04504949
2013-05-09,8:18:44,148,4.679313535,-74.04515997
2013-05-09,8:18:49,28,4.679134497,-74.04525384
2013-05-09,8:18:54,142,4.678919921,-74.04537387
2013-05-09,8:18:59,440,4.67877592,-74.0454732
2013-05-09,8:19:04,120,4.678660249,-74.04554319
2013-05-09,8:19:09,92,4.678526223,-74.04558786
2013-05-09,8:19:14,25,4.678373756,-74.0456628
2013-05-09,8:19:19,261,4.67820134,-74.04575734
2013-05-09,8:19:24,342,4.678036887,-74.04584418
2013-05-09,8:19:25,374,4.678021884,-74.04585684
2013-05-09,8:19:26,232,4.677992295,-74.04588785
2013-05-09,8:19:27,101,4.677944519,-74.04592959
2013-05-09,8:19:28,118,4.677923061,-74.0459249
2013-05-09,8:19:29,118,4.677891964,-74.04591777
2013-05-09,8:19:30,10,4.677871428,-74.04590344
2013-05-09,8:19:31,0,4.677844187,-74.04587586
2013-05-09,8:19:32,0,4.67782625,-74.04588467
2013-05-09,8:19:33,0,4.677796997,-74.04590059
2013-05-09,8:19:34,0,4.677773276,-74.04591643
2013-05-09,8:19:35,0,4.677739162,-74.04594124
2013-05-09,8:19:36,0,4.677707897,-74.04598148
2013-05-09,8:19:37,0,4.677676465,-74.04599573
2013-05-09,8:19:38,0,4.677648051,-74.04600419
