"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
9.3,125.09,1.91,24.84,"UH","M",-1.09798727801543,1.56285761901597
0.1,200.03,2.77,17.81,"UH","M",-2.60245214751375,-0.948758567761603
0,178.09,3.24,15.86,"UH","M",-3.23819990151882,0.1079879521219
0,45.07,2.56,26.33,"UH","H",1.80798044102177,1.81240357671318
0,44.83,2.09,23.46,"UH","M",1.48223153978572,1.47346179538679
0.1,85.26,2.37,21.83,"UH","M",0.195843226440116,2.36189445798442
0,66.72,2.53,14.72,"H","M",0.999918946916921,2.32401852393576
0,39.28,2.4,16.98,"UH","M",1.85774701010377,1.51946571085053
0.6,13.12,2.43,14.31,"H","M",2.3665692038584,0.551588799151165
0.8,126.14,2.25,17.2,"UH","M",-1.3269606684206,1.81705128834185
0.9,150.45,2.49,16.61,"UH","M",-2.16611485347452,1.22802542382358
0.1,135.97,2.72,16.52,"UH","M",-1.95561466417879,1.89049498419035
0.2,147.83,2.39,15.3,"UH","M",-2.02306823173198,1.27251519824199
0,149.02,3.41,12.07,"H","M",-2.92355337462033,1.75525942975563
4.6,77.6,2.38,16.58,"UH","M",0.511070078657611,2.32448002243532
2.2,124.69,2.08,23.88,"UH","M",-1.18380292899759,1.71026624397979
0.1,143.72,3.27,9.01,"H","L",-2.63606107306077,1.93496305367665
0,122.14,3.23,12.82,"H","M",-1.7183272240246,2.73500485395838
0,187.24,4.1,10.44,"H","M",-4.06731053782755,-0.516705901724524
0,168.15,3.8,9.09,"H","L",-3.71901652643701,0.780330747880903
0,132.97,2.89,15.85,"UH","M",-1.96986830569537,2.11464390813604
0,186.38,5.95,7.22,"H","L",-5.91315027325102,-0.661176108122037
0,205.46,5.49,8.66,"H","L",-4.95684204180502,-2.36004596832228
0,214.51,4.6,10.25,"H","M",-3.79052566985169,-2.60613030107771
0,220.26,4.56,11.08,"H","M",-3.4798257784209,-2.94693273622547
0,212.36,4.31,9.77,"H","L",-3.6406647467326,-2.30687238526505
0.2,72.41,2.67,16.86,"UH","M",0.806883406384394,2.54515994949267
0,167.99,3.06,11.2,"H","M",-2.99302057310513,0.636732164233484
0,75.66,2.69,15.82,"UH","M",0.666246968775241,2.60618782450494
0,51.09,2.8,10,"H","M",1.75867685598487,2.17877390204289
0,42.23,2.37,21.46,"UH","M",1.75487309494405,1.5928968644082
1.1,69.19,2.28,17.35,"UH","M",0.810015861877547,2.13126120020676
5.4,57.47,2.58,18.79,"UH","M",1.38737212418014,2.17522380205989
0.1,39.37,2.45,22.33,"UH","M",1.89401123860881,1.55409826845779
0,73.88,2.41,23.53,"UH","M",0.669136527939332,2.31524432986614
0.7,31.32,2.18,26.39,"UH","H",1.86232480110446,1.13320180691315
0.1,66.75,2.77,15.96,"UH","M",1.09344048218442,2.54505165211245
0,56.89,2.55,19.22,"UH","M",1.39293281359517,2.13593964727701
0.2,121.45,2.39,22,"UH","M",-1.24699276970467,2.03889897550229
0,10.15,2.86,14.34,"H","M",2.81524033872345,0.504005788879712
2.6,120.74,2.45,16.41,"UH","M",-1.25230055475983,2.10576430792913
0,228.37,3.88,14.05,"H","M",-2.57755255102273,-2.90010738537666
0,183.25,4.13,13.76,"H","M",-4.12335759940185,-0.234141212636747
0,191.92,4.32,13.65,"H","M",-4.22684760952685,-0.892277583399461
0,191.26,5.67,8.93,"H","L",-5.56085939347606,-1.10713269574568
0.1,188.11,4.9,9.88,"H","L",-4.85099534859457,-0.691262705426711
0,55.88,2.43,19.85,"UH","M",1.36305505940641,2.01171093972931
0,57.39,2.33,24.01,"UH","M",1.25567850308157,1.96269495767907
3.9,146.69,2.8,15.82,"UH","M",-2.33999227302472,1.53767231950914
6.6,107.11,2.28,18.4,"UH","M",-0.670792274876492,2.17909103159231
0,131.33,3.03,12.99,"H","M",-2.000996663509,2.27528291705138
0.1,80.07,2.22,18.91,"UH","M",0.382827630769894,2.18674255574796
0,61.13,2.37,19.25,"UH","M",1.14429270195192,2.07545036371858
0,41.56,2.51,23.27,"UH","M",1.87813615456931,1.6651440132612
2.6,123.2,2.08,20.56,"UH","M",-1.13893150486451,1.74046977199464
0,76.36,2.64,16.72,"UH","M",0.62256641708239,2.5655430334183
1.1,195.07,3.04,17.22,"UH","M",-2.93545105104437,-0.790396816113608
0.3,209.38,4.54,11.4,"H","M",-3.95608842562099,-2.22732224176647
0,173.72,4.81,13.66,"H","M",-4.78113614911139,0.526153137081142
0,66.13,3.04,20.2,"UH","M",1.23017500020334,2.77997652307977
4.6,76.33,2.48,26.23,"UH","H",0.586096941000966,2.40974902754401
0,59.54,2.58,18.62,"UH","M",1.30789670843133,2.22391685997352
0.2,64.7,2.55,17.66,"UH","M",1.08976255163734,2.30541050163498
1.1,40.5,2.71,14.9,"H","M",2.06070016677608,1.7600042109748
0.2,93.71,2.67,19.22,"UH","M",-0.172766291991069,2.66440458796176
0,82.27,3.25,19.05,"UH","M",0.437141395008682,3.22046695383913
0.1,181.58,4.14,16.15,"UH","M",-4.13842597461231,-0.114151008117249
0,110.04,2.78,15.48,"UH","M",-0.952639527786192,2.61168105443588
0.1,136.89,3.56,11.13,"H","M",-2.59895312175851,2.43290827424745
0,191.95,4.15,10.74,"H","M",-4.0600639615665,-0.859290770338507
0,222.26,3.92,10.74,"H","M",-2.90119500298481,-2.63618427934315
0,153.58,4.69,9.34,"H","L",-4.20015997897684,2.08680524989785
0,232.43,4.08,12.54,"H","M",-2.48769937265431,-3.23384474446368
0,150.4,4.7,9.61,"H","L",-4.08662616867453,2.32152677294589
2.4,217.35,4.64,13.31,"H","M",-3.68854179971805,-2.81500610864928
0,152.24,3.1,29.9,"UH","H",-2.74320971265223,1.44388381541261
0,165.99,4.31,14.09,"H","M",-4.18179253397672,1.04341324640649
0.1,7.22,2.87,18.83,"UH","M",2.84724345808991,0.360700277743478
0,83.46,3.92,16.64,"UH","M",0.446475574125649,3.8944909245894
0,113.35,3,21.19,"UH","M",-1.18904054254967,2.75430255930121
0.2,203.49,3,20.25,"UH","M",-2.7513889657757,-1.19576701702619
0,64.52,2.59,21.57,"UH","M",1.11420766301634,2.33808496074793
