PIB,IPC,BalanzaPagos,Desemp1000,DeudaGobMill,DefSupPublMill,IngresosImpMill,ÍndConfianzaConsum,TasaInterés,ExportMill,ImportMill,CréditCasaMill,DeudaPrivMill,ConsumFinHogEmprMill,GastoFinGobMill,TasaAhorroHogr
11573.99,91.47,-117671.04,18253.00,7262899.80,35296.14,150488.57,1.28,5.05,294054.50,399990.91,7537893.51,7827.47,8397806.73,1969315.80,4.20
11635.41,92.26,-105110.74,18981.00,7031103.26,35052.95,178740.14,1.27,5.27,280765.42,375928.75,7699809.72,7971.70,8348103.65,1976126.63,3.80
11599.99,92.38,-113847.54,20767.00,7381094.87,34937.38,137987.49,1.23,4.98,264110.96,360878.54,7910438.32,8138.94,8365432.80,1991506.80,5.80
11628.45,92.09,-95437.89,23955.00,7377478.97,34832.00,137549.82,1.19,4.77,253741.32,348668.99,8120479.74,8285.26,8515893.25,2012751.69,3.30
11737.73,92.32,-112632.31,24701.00,7455007.56,-42716.38,140019.74,1.30,5.08,257146.59,357303.36,8286868.79,8467.24,8521364.90,2034244.37,5.40
11801.89,93.20,-124096.80,25391.00,7730278.05,-42554.46,160236.89,1.31,5.10,263954.67,373914.68,8450262.66,8618.08,8485412.54,2034901.88,5.30
11858.64,93.56,-123388.98,24945.00,8171033.85,-42364.78,138367.09,1.21,4.28,266364.02,379572.10,8676943.81,8799.97,8513349.45,2037996.56,4.60
11864.31,93.76,-132693.49,25467.00,8271334.60,-42133.54,139722.68,1.17,4.01,262454.63,388400.01,8937533.72,9014.25,8530172.01,2047193.35,4.70
11924.44,94.65,-143323.07,25726.00,8462978.77,-100226.40,138733.51,1.11,3.92,261468.37,391911.99,9066977.44,9195.96,8492638.05,2019507.89,4.70
12037.20,94.97,-136837.77,27065.00,8522260.03,-99923.20,160613.28,1.24,3.62,261382.89,390251.11,9343190.00,9437.76,8558805.39,2047352.18,4.90
12240.57,95.44,-137237.46,26828.00,8589387.81,-99365.68,144216.51,1.24,4.23,268067.31,396810.20,9585142.97,9663.58,8640424.15,2025859.50,5.10
12379.41,95.38,-132733.17,25625.00,8605763.95,-98876.36,146911.87,1.28,4.29,281893.69,413130.52,9846004.54,9922.10,8709691.75,2042589.75,4.80
12453.46,96.29,-142887.52,25028.00,9503680.78,-107157.59,147417.74,1.36,4.02,291254.73,431615.88,10014949.46,10065.41,8715345.52,2029854.50,4.50
12548.74,97.50,-161515.98,24668.00,9631402.30,-106274.92,174044.39,1.30,4.60,295249.41,449453.65,10253989.07,10267.48,8660606.92,2012359.06,4.90
12658.84,97.79,-163277.28,24053.00,9840787.21,-105596.17,149893.45,1.33,4.30,298240.78,457859.82,10907122.73,10458.83,8716535.30,2017244.73,4.40
12765.65,98.38,-182714.07,23927.00,9871060.74,-104839.47,155873.22,1.31,4.17,306524.95,477573.73,11130993.25,10713.71,8753679.28,2000326.89,4.60
12905.23,98.79,-170986.54,23501.00,10094442.70,-80139.33,158873.39,1.31,4.30,315537.13,483192.45,11468182.92,10859.76,8787223.94,1999415.34,2.80
12975.70,100.00,-179480.00,22847.00,10018575.00,-79586.50,196600.00,1.26,4.18,319410.00,491049.00,11727574.26,11094.03,8771921.01,1974413.49,2.50
13081.59,101.09,-184564.74,22304.00,9981522.62,-78833.78,159858.85,1.22,4.21,318098.32,497520.22,11979789.49,11313.84,8742352.70,1969682.99,2.30
13153.99,101.50,-206224.95,22298.00,10058106.45,-78222.87,163028.85,1.15,4.49,328393.65,521098.23,12338095.93,11520.45,8739599.20,1950104.60,2.80
13313.61,101.97,-193179.91,21320.00,10082716.82,-60517.10,164890.73,1.24,4.57,342237.92,530630.38,12667644.13,11819.78,8796788.83,1957056.42,3.80
