PIB,IPC,BalanzaPagos,Desemp1000,DeudaGobMill,DefSupPublMill,IngresosImpMill,ÍndConfianzaConsum,TasaInterés,ExportMill,ImportMill,CréditCasaMill,DeudaPrivMill,ConsumFinHogEmprMill,GastoFinGobMill,TasaAhorroHogr
708836.21,94.10,-5125.52,3083.00,1654380.99,-28810.74,64632.52,3.67,4.75,250250.70,241396.65,336220.25,3736458.51,410242.32,335340.34,18.22
709626.11,94.97,-6629.15,3084.00,1645367.22,-351.82,70887.18,1.03,4.59,250156.40,239394.35,333146.80,3767458.07,409720.84,325572.50,14.80
707400.01,95.12,-2791.02,3141.00,1658148.27,-29028.24,68822.61,-7.07,4.27,247177.60,234718.07,332639.68,3781653.56,410729.41,333129.36,14.07
708764.41,95.08,14311.97,3216.00,1656125.66,-28735.85,67593.17,-11.47,3.44,253845.70,228522.37,332768.52,3777349.83,409813.51,371440.69,13.76
706340.75,95.99,11241.32,3294.00,1683854.08,-40521.97,66049.94,-12.00,3.36,249350.58,220774.81,337618.72,3791746.74,405816.42,335644.03,18.29
708351.58,96.20,9449.85,3383.00,1694020.04,-13683.05,66581.82,-9.60,3.45,255162.19,224620.19,336856.32,3846364.71,404267.93,328323.12,15.40
711080.38,96.27,13809.18,3514.00,1706451.03,-30660.53,67855.23,-7.93,3.36,258383.88,223497.29,336603.23,3856522.32,405563.39,338612.30,14.70
709715.98,96.20,22054.98,3668.00,1707176.07,-23973.95,66260.72,-15.67,3.11,264551.17,228575.66,336858.60,3827330.16,409946.06,372827.39,14.49
704186.45,97.07,9180.63,3832.00,1752319.76,-39592.12,64732.12,-20.53,2.68,254627.65,233208.75,340010.01,3844395.28,410491.11,342035.94,19.47
703612.07,96.96,6247.53,3945.00,1773269.02,-16304.22,66056.48,-20.60,2.36,251282.32,225903.24,340389.34,3869803.12,409681.46,335305.52,15.44
706915.25,97.29,12730.76,3947.00,1788199.67,-37944.81,64206.99,-18.00,2.14,257276.93,223963.65,339250.21,3835894.46,408722.69,341590.78,14.48
709787.78,97.32,24980.14,3936.00,1810486.75,-23209.96,64988.01,-15.60,2.15,261702.58,228866.79,339125.92,3840544.43,410287.86,366843.58,14.51
709859.45,98.01,33966.27,3990.00,1859417.86,-41545.13,64396.49,-15.17,2.06,267298.98,230812.52,340014.49,3791330.15,408941.43,343070.43,19.26
712157.47,98.77,36855.20,4140.00,1868689.55,-17818.89,60725.45,-15.90,2.08,279953.29,236922.85,337399.26,3782934.33,406988.06,327568.41,15.74
710936.66,99.06,24415.57,4332.00,1887474.54,-31614.49,61093.23,-16.47,2.12,275569.98,243440.39,336413.75,3763008.00,406948.64,330255.58,14.85
711152.05,99.28,37782.63,4563.00,1886553.52,-16321.18,61443.07,-17.57,2.16,278789.08,247785.00,335682.02,3760774.03,409816.82,352891.30,14.68
